|dates|Gray_Kansas_UnitedStates.BLS_EmployedPopulation.data|Gray_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Gray_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Gray_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Gray_Kansas_UnitedStates.BLS_UnemploymentRate.data|Gray_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Gray_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Gray_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-02|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-03|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-04|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-05|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-06|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-07|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-08|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-09|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-10|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-11|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-12|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-13|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-14|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-15|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-16|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-17|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-18|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-19|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-20|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-21|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-22|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-23|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-24|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-25|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-26|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-27|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-28|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-29|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-30|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-01-31|3054.0|0|71.0|0|2.272|0|3125.0|0
0|2020-02-01|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-02|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-03|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-04|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-05|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-06|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-07|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-08|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-09|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-10|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-11|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-12|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-13|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-14|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-15|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-16|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-17|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-18|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-19|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-20|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-21|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-22|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-23|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-24|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-25|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-26|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-27|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-28|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-02-29|3115.5|0|70.0|0|2.197457228064668|0|3185.5|0
0|2020-03-01|3158.0|0|69.0|0|2.138208862720793|0|3227.0|0
0|2020-03-02|3158.0|0|69.0|0|2.138208862720793|0|3227.0|0
0|2020-03-03|3158.0|0|69.0|0|2.138208862720793|0|3227.0|0
0|2020-03-04|3158.0|0|69.0|0|2.138208862720793|0|3227.0|0
0|2020-03-05|3158.0|0|69.0|0|2.138208862720793|0|3227.0|0
0|2020-03-06|3158.0|0|69.0|0|2.138208862720793|0|3227.0|0
0|2020-03-07|3158.0|0|69.0|0|2.138208862720793|0|3227.0|0
0|2020-03-08|3158.0|0|69.0|0|2.138208862720793|0|3227.0|0
0|2020-03-09|3158.0|0|69.0|0|2.138208862720793|0|3227.0|0
0|2020-03-10|3158.0|0|69.0|0|2.138208862720793|0|3227.0|0
0|2020-03-11|3158.0|0|69.0|0|2.138208862720793|0|3227.0|0
0|2020-03-12|3158.0|0|69.0|0|2.138208862720793|0|3227.0|0
0|2020-03-13|3158.0|0|69.0|0|2.138208862720793|0|3227.0|0
