|dates|Boone_WestVirginia_UnitedStates.BLS_EmployedPopulation.data|Boone_WestVirginia_UnitedStates.BLS_EmployedPopulation.missing|Boone_WestVirginia_UnitedStates.BLS_UnemployedPopulation.data|Boone_WestVirginia_UnitedStates.BLS_UnemployedPopulation.missing|Boone_WestVirginia_UnitedStates.BLS_UnemploymentRate.data|Boone_WestVirginia_UnitedStates.BLS_UnemploymentRate.missing|Boone_WestVirginia_UnitedStates.BLS_LaborForcePopulation.data|Boone_WestVirginia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7021.5|0|508.5|0|6.752988047808765|0|7530.0|0
0|2020-01-02|7021.5|0|508.5|0|6.752988047808765|0|7530.0|0
0|2020-01-03|7021.5|0|508.5|0|6.752988047808765|0|7530.0|0
0|2020-01-04|7021.5|0|508.5|0|6.752988047808765|0|7530.0|0
0|2020-01-05|7021.5|0|508.5|0|6.752988047808765|0|7530.0|0
0|2020-01-06|7021.5|0|508.5|0|6.752988047808765|0|7530.0|0
0|2020-01-07|7021.5|0|508.5|0|6.752988047808765|0|7530.0|0
0|2020-01-08|7021.5|0|508.5|0|6.752988047808765|0|7530.0|0
0|2020-01-09|7021.5|0|508.5|0|6.752988047808765|0|7530.0|0
0|2020-01-10|7021.5|0|508.5|0|6.752988047808765|0|7530.0|0
0|2020-01-11|7021.5|0|508.5|0|6.752988047808765|0|7530.0|0
0|2020-01-12|7021.5|0|508.5|0|6.752988047808765|0|7530.0|0
0|2020-01-13|7021.5|0|508.5|0|6.752988047808765|0|7530.0|0
0|2020-01-14|7021.5|0|508.5|0|6.752988047808765|0|7530.0|0
0|2020-01-15|7021.5|0|508.5|0|6.752988047808765|0|7530.0|0
0|2020-01-16|7021.5|0|508.5|0|6.752988047808765|0|7530.0|0
0|2020-01-17|7021.5|0|508.5|0|6.752988047808765|0|7530.0|0
0|2020-01-18|7021.5|0|508.5|0|6.752988047808765|0|7530.0|0
0|2020-01-19|7021.5|0|508.5|0|6.752988047808765|0|7530.0|0
0|2020-01-20|7021.5|0|508.5|0|6.752988047808765|0|7530.0|0
