|dates|Union_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Union_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Union_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Union_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Union_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Union_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Union_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Union_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-02|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-03|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-04|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-05|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-06|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-07|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-08|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-09|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-10|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-11|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-12|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-13|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-14|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-15|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-16|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-17|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-18|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-19|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-20|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-21|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-22|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-23|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-24|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-25|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-26|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-27|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-28|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-29|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-30|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-01-31|121248.0|0|4205.5|0|3.3522380802448715|0|125453.5|0
0|2020-02-01|122510.5|0|3968.5|0|3.137675029056207|0|126479.0|0
0|2020-02-02|122510.5|0|3968.5|0|3.137675029056207|0|126479.0|0
0|2020-02-03|122510.5|0|3968.5|0|3.137675029056207|0|126479.0|0
0|2020-02-04|122510.5|0|3968.5|0|3.137675029056207|0|126479.0|0
0|2020-02-05|122510.5|0|3968.5|0|3.137675029056207|0|126479.0|0
0|2020-02-06|122510.5|0|3968.5|0|3.137675029056207|0|126479.0|0
0|2020-02-07|122510.5|0|3968.5|0|3.137675029056207|0|126479.0|0
0|2020-02-08|122510.5|0|3968.5|0|3.137675029056207|0|126479.0|0
0|2020-02-09|122510.5|0|3968.5|0|3.137675029056207|0|126479.0|0
