|dates|Washtenaw_Michigan_UnitedStates.BLS_EmployedPopulation.data|Washtenaw_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Washtenaw_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Washtenaw_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Washtenaw_Michigan_UnitedStates.BLS_UnemploymentRate.data|Washtenaw_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Washtenaw_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Washtenaw_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|193586.0|0|4784.5|0|2.4119009630968313|0|198370.5|0
0|2020-01-02|193586.0|0|4784.5|0|2.4119009630968313|0|198370.5|0
0|2020-01-03|193586.0|0|4784.5|0|2.4119009630968313|0|198370.5|0
0|2020-01-04|193586.0|0|4784.5|0|2.4119009630968313|0|198370.5|0
0|2020-01-05|193586.0|0|4784.5|0|2.4119009630968313|0|198370.5|0
0|2020-01-06|193586.0|0|4784.5|0|2.4119009630968313|0|198370.5|0
0|2020-01-07|193586.0|0|4784.5|0|2.4119009630968313|0|198370.5|0
0|2020-01-08|193586.0|0|4784.5|0|2.4119009630968313|0|198370.5|0
0|2020-01-09|193586.0|0|4784.5|0|2.4119009630968313|0|198370.5|0
0|2020-01-10|193586.0|0|4784.5|0|2.4119009630968313|0|198370.5|0
0|2020-01-11|193586.0|0|4784.5|0|2.4119009630968313|0|198370.5|0
0|2020-01-12|193586.0|0|4784.5|0|2.4119009630968313|0|198370.5|0
0|2020-01-13|193586.0|0|4784.5|0|2.4119009630968313|0|198370.5|0
0|2020-01-14|193586.0|0|4784.5|0|2.4119009630968313|0|198370.5|0
0|2020-01-15|193586.0|0|4784.5|0|2.4119009630968313|0|198370.5|0
0|2020-01-16|193586.0|0|4784.5|0|2.4119009630968313|0|198370.5|0
0|2020-01-17|193586.0|0|4784.5|0|2.4119009630968313|0|198370.5|0
0|2020-01-18|193586.0|0|4784.5|0|2.4119009630968313|0|198370.5|0
0|2020-01-19|193586.0|0|4784.5|0|2.4119009630968313|0|198370.5|0
