|dates|SanMiguel_Colorado_UnitedStates.AveragePrecipitationTotal.data|SanMiguel_Colorado_UnitedStates.AveragePrecipitationTotal.missing|SanMiguel_Colorado_UnitedStates.AveragePrecipitation.data|SanMiguel_Colorado_UnitedStates.AveragePrecipitation.missing|SanMiguel_Colorado_UnitedStates.AverageWindDirection.data|SanMiguel_Colorado_UnitedStates.AverageWindDirection.missing|SanMiguel_Colorado_UnitedStates.AverageWindSpeed.data|SanMiguel_Colorado_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|87.76041666666667|0|2.4739583333333335|0
0|2020-01-02|0.0|0|0.0|0|138.28125|0|3.9583333333333335|0
0|2020-01-03|0.0|0|0.0|0|104.21875|0|3.7395833333333335|0
0|2020-01-04|0.0|0|0.0|0|47.708333333333336|0|2.4583333333333335|0
0|2020-01-05|0.0|0|0.0|0|90.9375|0|3.546875|0
0|2020-01-06|0.0|0|0.0|0|111.5625|0|4.541666666666667|0
0|2020-01-07|0.0|0|0.0|0|55.677083333333336|0|3.0520833333333335|0
0|2020-01-08|0.0|0|0.0|0|95.98958333333333|0|4.505208333333333|0
0|2020-01-09|0.0|0|0.0|0|109.32291666666667|0|4.864583333333333|0
0|2020-01-10|0.0|0|0.0|0|150.88541666666666|0|6.479166666666667|0
0|2020-01-11|0.0|0|0.0|0|57.5|0|2.96875|0
0|2020-01-12|0.0|0|0.0|0|119.58333333333333|0|4.729166666666667|0
0|2020-01-13|0.0|0|0.0|0|146.875|0|7.067708333333333|0
0|2020-01-14|0.0|0|0.0|0|151.19791666666666|0|7.59375|0
0|2020-01-15|0.0|0|0.0|0|121.14583333333333|0|6.557291666666667|0
0|2020-01-16|0.0|0|0.0|0|66.45833333333333|0|2.3802083333333335|0
0|2020-01-17|0.0|0|0.0|0|83.69791666666667|0|5.786458333333333|0
0|2020-01-18|0.0|0|0.0|0|85.10416666666667|0|2.8333333333333335|0
0|2020-01-19|0.0|0|0.0|0|61.09375|0|3.53125|0
0|2020-01-20|0.0|0|0.0|0|77.70833333333333|0|2.625|0
0|2020-01-21|0.0|0|0.0|0|36.197916666666664|0|0.984375|0
0|2020-01-22|0.0|0|0.0|0|55.46875|0|1.328125|0
0|2020-01-23|0.0|0|0.0|0|74.16666666666667|0|1.7083333333333333|0
0|2020-01-24|0.0|0|0.0|0|85.05208333333333|0|1.8125|0
0|2020-01-25|0.0|0|0.0|0|86.14583333333333|0|2.7447916666666665|0
0|2020-01-26|0.0|0|0.0|0|75.3125|0|3.3697916666666665|0
0|2020-01-27|0.0|0|0.0|0|173.48958333333334|0|4.15625|0
0|2020-01-28|0.0|0|0.0|0|119.375|0|4.729166666666667|0
0|2020-01-29|0.0|0|0.0|0|133.59375|0|3.421875|0
0|2020-01-30|0.0|0|0.0|0|163.54166666666666|0|5.479166666666667|0
0|2020-01-31|0.0|0|0.0|0|137.55208333333334|0|4.651041666666667|0
0|2020-02-01|0.0|0|0.0|0|89.32291666666667|0|3.7708333333333335|0
0|2020-02-02|0.0|0|0.0|0|94.73958333333333|0|4.979166666666667|0
0|2020-02-03|0.0|0|0.0|0|225.15625|0|15.9375|0
0|2020-02-04|0.0|0|0.0|0|291.0416666666667|0|9.713541666666666|0
0|2020-02-05|0.0|0|0.0|0|95.26041666666667|0|4.479166666666667|0
0|2020-02-06|0.0|0|0.0|0|52.291666666666664|0|3.5|0
