|dates|Nash_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Nash_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Nash_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Nash_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Nash_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Nash_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Nash_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Nash_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|41487.0|0|2030.0|0|4.664843624330722|0|43517.0|0
0|2020-01-02|41487.0|0|2030.0|0|4.664843624330722|0|43517.0|0
0|2020-01-03|41487.0|0|2030.0|0|4.664843624330722|0|43517.0|0
0|2020-01-04|41487.0|0|2030.0|0|4.664843624330722|0|43517.0|0
0|2020-01-05|41487.0|0|2030.0|0|4.664843624330722|0|43517.0|0
0|2020-01-06|41487.0|0|2030.0|0|4.664843624330722|0|43517.0|0
0|2020-01-07|41487.0|0|2030.0|0|4.664843624330722|0|43517.0|0
0|2020-01-08|41487.0|0|2030.0|0|4.664843624330722|0|43517.0|0
0|2020-01-09|41487.0|0|2030.0|0|4.664843624330722|0|43517.0|0
0|2020-01-10|41487.0|0|2030.0|0|4.664843624330722|0|43517.0|0
0|2020-01-11|41487.0|0|2030.0|0|4.664843624330722|0|43517.0|0
0|2020-01-12|41487.0|0|2030.0|0|4.664843624330722|0|43517.0|0
0|2020-01-13|41487.0|0|2030.0|0|4.664843624330722|0|43517.0|0
0|2020-01-14|41487.0|0|2030.0|0|4.664843624330722|0|43517.0|0
0|2020-01-15|41487.0|0|2030.0|0|4.664843624330722|0|43517.0|0
0|2020-01-16|41487.0|0|2030.0|0|4.664843624330722|0|43517.0|0
0|2020-01-17|41487.0|0|2030.0|0|4.664843624330722|0|43517.0|0
0|2020-01-18|41487.0|0|2030.0|0|4.664843624330722|0|43517.0|0
0|2020-01-19|41487.0|0|2030.0|0|4.664843624330722|0|43517.0|0
0|2020-01-20|41487.0|0|2030.0|0|4.664843624330722|0|43517.0|0
