|dates|Brule_SouthDakota_UnitedStates.BLS_EmployedPopulation.data|Brule_SouthDakota_UnitedStates.BLS_EmployedPopulation.missing|Brule_SouthDakota_UnitedStates.BLS_UnemployedPopulation.data|Brule_SouthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Brule_SouthDakota_UnitedStates.BLS_UnemploymentRate.data|Brule_SouthDakota_UnitedStates.BLS_UnemploymentRate.missing|Brule_SouthDakota_UnitedStates.BLS_LaborForcePopulation.data|Brule_SouthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-02|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-03|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-04|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-05|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-06|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-07|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-08|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-09|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-10|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-11|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-12|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-13|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-14|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-15|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-16|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-17|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-18|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-19|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-20|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-21|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-22|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-23|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-24|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-25|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-26|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-27|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-28|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-29|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-30|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-01-31|2308.5|0|80.5|0|3.369610715780661|0|2389.0|0
0|2020-02-01|2300.5|0|75.5|0|3.1776094276094278|0|2376.0|0
0|2020-02-02|2300.5|0|75.5|0|3.1776094276094278|0|2376.0|0
0|2020-02-03|2300.5|0|75.5|0|3.1776094276094278|0|2376.0|0
0|2020-02-04|2300.5|0|75.5|0|3.1776094276094278|0|2376.0|0
0|2020-02-05|2300.5|0|75.5|0|3.1776094276094278|0|2376.0|0
0|2020-02-06|2300.5|0|75.5|0|3.1776094276094278|0|2376.0|0
0|2020-02-07|2300.5|0|75.5|0|3.1776094276094278|0|2376.0|0
0|2020-02-08|2300.5|0|75.5|0|3.1776094276094278|0|2376.0|0
0|2020-02-09|2300.5|0|75.5|0|3.1776094276094278|0|2376.0|0
0|2020-02-10|2300.5|0|75.5|0|3.1776094276094278|0|2376.0|0
0|2020-02-11|2300.5|0|75.5|0|3.1776094276094278|0|2376.0|0
0|2020-02-12|2300.5|0|75.5|0|3.1776094276094278|0|2376.0|0
0|2020-02-13|2300.5|0|75.5|0|3.1776094276094278|0|2376.0|0
0|2020-02-14|2300.5|0|75.5|0|3.1776094276094278|0|2376.0|0
0|2020-02-15|2300.5|0|75.5|0|3.1776094276094278|0|2376.0|0
