|dates|Newton_Indiana_UnitedStates.BLS_EmployedPopulation.data|Newton_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Newton_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Newton_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Newton_Indiana_UnitedStates.BLS_UnemploymentRate.data|Newton_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Newton_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Newton_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|6532.5|0|330.5|0|4.8156782748069356|0|6863.0|0
0|2020-01-02|6532.5|0|330.5|0|4.8156782748069356|0|6863.0|0
0|2020-01-03|6532.5|0|330.5|0|4.8156782748069356|0|6863.0|0
0|2020-01-04|6532.5|0|330.5|0|4.8156782748069356|0|6863.0|0
0|2020-01-05|6532.5|0|330.5|0|4.8156782748069356|0|6863.0|0
0|2020-01-06|6532.5|0|330.5|0|4.8156782748069356|0|6863.0|0
0|2020-01-07|6532.5|0|330.5|0|4.8156782748069356|0|6863.0|0
0|2020-01-08|6532.5|0|330.5|0|4.8156782748069356|0|6863.0|0
0|2020-01-09|6532.5|0|330.5|0|4.8156782748069356|0|6863.0|0
0|2020-01-10|6532.5|0|330.5|0|4.8156782748069356|0|6863.0|0
0|2020-01-11|6532.5|0|330.5|0|4.8156782748069356|0|6863.0|0
0|2020-01-12|6532.5|0|330.5|0|4.8156782748069356|0|6863.0|0
0|2020-01-13|6532.5|0|330.5|0|4.8156782748069356|0|6863.0|0
0|2020-01-14|6532.5|0|330.5|0|4.8156782748069356|0|6863.0|0
0|2020-01-15|6532.5|0|330.5|0|4.8156782748069356|0|6863.0|0
0|2020-01-16|6532.5|0|330.5|0|4.8156782748069356|0|6863.0|0
0|2020-01-17|6532.5|0|330.5|0|4.8156782748069356|0|6863.0|0
0|2020-01-18|6532.5|0|330.5|0|4.8156782748069356|0|6863.0|0
0|2020-01-19|6532.5|0|330.5|0|4.8156782748069356|0|6863.0|0
0|2020-01-20|6532.5|0|330.5|0|4.8156782748069356|0|6863.0|0
0|2020-01-21|6532.5|0|330.5|0|4.8156782748069356|0|6863.0|0
0|2020-01-22|6532.5|0|330.5|0|4.8156782748069356|0|6863.0|0
0|2020-01-23|6532.5|0|330.5|0|4.8156782748069356|0|6863.0|0
0|2020-01-24|6532.5|0|330.5|0|4.8156782748069356|0|6863.0|0
0|2020-01-25|6532.5|0|330.5|0|4.8156782748069356|0|6863.0|0
