|dates|Shoshone_Idaho_UnitedStates.BLS_EmployedPopulation.data|Shoshone_Idaho_UnitedStates.BLS_EmployedPopulation.missing|Shoshone_Idaho_UnitedStates.BLS_UnemployedPopulation.data|Shoshone_Idaho_UnitedStates.BLS_UnemployedPopulation.missing|Shoshone_Idaho_UnitedStates.BLS_UnemploymentRate.data|Shoshone_Idaho_UnitedStates.BLS_UnemploymentRate.missing|Shoshone_Idaho_UnitedStates.BLS_LaborForcePopulation.data|Shoshone_Idaho_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-02|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-03|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-04|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-05|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-06|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-07|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-08|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-09|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-10|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-11|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-12|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-13|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-14|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-15|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-16|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-17|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-18|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-19|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-20|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-21|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-22|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-23|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-24|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-25|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-26|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-27|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-28|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-29|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-30|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-01-31|4987.5|0|353.5|0|6.618610747051114|0|5341.0|0
0|2020-02-01|4963.0|0|329.0|0|6.216931216931217|0|5292.0|0
0|2020-02-02|4963.0|0|329.0|0|6.216931216931217|0|5292.0|0
0|2020-02-03|4963.0|0|329.0|0|6.216931216931217|0|5292.0|0
0|2020-02-04|4963.0|0|329.0|0|6.216931216931217|0|5292.0|0
0|2020-02-05|4963.0|0|329.0|0|6.216931216931217|0|5292.0|0
0|2020-02-06|4963.0|0|329.0|0|6.216931216931217|0|5292.0|0
0|2020-02-07|4963.0|0|329.0|0|6.216931216931217|0|5292.0|0
0|2020-02-08|4963.0|0|329.0|0|6.216931216931217|0|5292.0|0
0|2020-02-09|4963.0|0|329.0|0|6.216931216931217|0|5292.0|0
0|2020-02-10|4963.0|0|329.0|0|6.216931216931217|0|5292.0|0
0|2020-02-11|4963.0|0|329.0|0|6.216931216931217|0|5292.0|0
0|2020-02-12|4963.0|0|329.0|0|6.216931216931217|0|5292.0|0
0|2020-02-13|4963.0|0|329.0|0|6.216931216931217|0|5292.0|0
0|2020-02-14|4963.0|0|329.0|0|6.216931216931217|0|5292.0|0
0|2020-02-15|4963.0|0|329.0|0|6.216931216931217|0|5292.0|0
0|2020-02-16|4963.0|0|329.0|0|6.216931216931217|0|5292.0|0
