|dates|Kemper_Mississippi_UnitedStates.BLS_EmployedPopulation.data|Kemper_Mississippi_UnitedStates.BLS_EmployedPopulation.missing|Kemper_Mississippi_UnitedStates.BLS_UnemployedPopulation.data|Kemper_Mississippi_UnitedStates.BLS_UnemployedPopulation.missing|Kemper_Mississippi_UnitedStates.BLS_UnemploymentRate.data|Kemper_Mississippi_UnitedStates.BLS_UnemploymentRate.missing|Kemper_Mississippi_UnitedStates.BLS_LaborForcePopulation.data|Kemper_Mississippi_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-02|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-03|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-04|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-05|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-06|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-07|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-08|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-09|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-10|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-11|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-12|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-13|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-14|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-15|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-16|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-17|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-18|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-19|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-20|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-21|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-22|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-23|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-24|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-25|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-26|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-27|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-28|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-29|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-30|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-01-31|3199.0|0|264.0|0|7.623447877562807|0|3463.0|0
0|2020-02-01|3230.5|0|256.0|0|7.342607199196903|0|3486.5|0
0|2020-02-02|3230.5|0|256.0|0|7.342607199196903|0|3486.5|0
0|2020-02-03|3230.5|0|256.0|0|7.342607199196903|0|3486.5|0
0|2020-02-04|3230.5|0|256.0|0|7.342607199196903|0|3486.5|0
0|2020-02-05|3230.5|0|256.0|0|7.342607199196903|0|3486.5|0
0|2020-02-06|3230.5|0|256.0|0|7.342607199196903|0|3486.5|0
0|2020-02-07|3230.5|0|256.0|0|7.342607199196903|0|3486.5|0
