|dates|Sheboygan_Wisconsin_UnitedStates.BLS_EmployedPopulation.data|Sheboygan_Wisconsin_UnitedStates.BLS_EmployedPopulation.missing|Sheboygan_Wisconsin_UnitedStates.BLS_UnemployedPopulation.data|Sheboygan_Wisconsin_UnitedStates.BLS_UnemployedPopulation.missing|Sheboygan_Wisconsin_UnitedStates.BLS_UnemploymentRate.data|Sheboygan_Wisconsin_UnitedStates.BLS_UnemploymentRate.missing|Sheboygan_Wisconsin_UnitedStates.BLS_LaborForcePopulation.data|Sheboygan_Wisconsin_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|59046.5|0|1910.5|0|3.1341765506832684|0|60957.0|0
0|2020-01-02|59046.5|0|1910.5|0|3.1341765506832684|0|60957.0|0
0|2020-01-03|59046.5|0|1910.5|0|3.1341765506832684|0|60957.0|0
0|2020-01-04|59046.5|0|1910.5|0|3.1341765506832684|0|60957.0|0
0|2020-01-05|59046.5|0|1910.5|0|3.1341765506832684|0|60957.0|0
0|2020-01-06|59046.5|0|1910.5|0|3.1341765506832684|0|60957.0|0
0|2020-01-07|59046.5|0|1910.5|0|3.1341765506832684|0|60957.0|0
0|2020-01-08|59046.5|0|1910.5|0|3.1341765506832684|0|60957.0|0
0|2020-01-09|59046.5|0|1910.5|0|3.1341765506832684|0|60957.0|0
0|2020-01-10|59046.5|0|1910.5|0|3.1341765506832684|0|60957.0|0
0|2020-01-11|59046.5|0|1910.5|0|3.1341765506832684|0|60957.0|0
0|2020-01-12|59046.5|0|1910.5|0|3.1341765506832684|0|60957.0|0
0|2020-01-13|59046.5|0|1910.5|0|3.1341765506832684|0|60957.0|0
0|2020-01-14|59046.5|0|1910.5|0|3.1341765506832684|0|60957.0|0
0|2020-01-15|59046.5|0|1910.5|0|3.1341765506832684|0|60957.0|0
0|2020-01-16|59046.5|0|1910.5|0|3.1341765506832684|0|60957.0|0
0|2020-01-17|59046.5|0|1910.5|0|3.1341765506832684|0|60957.0|0
0|2020-01-18|59046.5|0|1910.5|0|3.1341765506832684|0|60957.0|0
0|2020-01-19|59046.5|0|1910.5|0|3.1341765506832684|0|60957.0|0
0|2020-01-20|59046.5|0|1910.5|0|3.1341765506832684|0|60957.0|0
0|2020-01-21|59046.5|0|1910.5|0|3.1341765506832684|0|60957.0|0
