|dates|Blackford_Indiana_UnitedStates.BLS_EmployedPopulation.data|Blackford_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Blackford_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Blackford_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Blackford_Indiana_UnitedStates.BLS_UnemploymentRate.data|Blackford_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Blackford_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Blackford_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4643.0|0|220.0|0|4.523956405511002|0|4863.0|0
0|2020-01-02|4643.0|0|220.0|0|4.523956405511002|0|4863.0|0
0|2020-01-03|4643.0|0|220.0|0|4.523956405511002|0|4863.0|0
0|2020-01-04|4643.0|0|220.0|0|4.523956405511002|0|4863.0|0
0|2020-01-05|4643.0|0|220.0|0|4.523956405511002|0|4863.0|0
0|2020-01-06|4643.0|0|220.0|0|4.523956405511002|0|4863.0|0
0|2020-01-07|4643.0|0|220.0|0|4.523956405511002|0|4863.0|0
0|2020-01-08|4643.0|0|220.0|0|4.523956405511002|0|4863.0|0
0|2020-01-09|4643.0|0|220.0|0|4.523956405511002|0|4863.0|0
0|2020-01-10|4643.0|0|220.0|0|4.523956405511002|0|4863.0|0
0|2020-01-11|4643.0|0|220.0|0|4.523956405511002|0|4863.0|0
0|2020-01-12|4643.0|0|220.0|0|4.523956405511002|0|4863.0|0
0|2020-01-13|4643.0|0|220.0|0|4.523956405511002|0|4863.0|0
0|2020-01-14|4643.0|0|220.0|0|4.523956405511002|0|4863.0|0
0|2020-01-15|4643.0|0|220.0|0|4.523956405511002|0|4863.0|0
0|2020-01-16|4643.0|0|220.0|0|4.523956405511002|0|4863.0|0
0|2020-01-17|4643.0|0|220.0|0|4.523956405511002|0|4863.0|0
0|2020-01-18|4643.0|0|220.0|0|4.523956405511002|0|4863.0|0
0|2020-01-19|4643.0|0|220.0|0|4.523956405511002|0|4863.0|0
0|2020-01-20|4643.0|0|220.0|0|4.523956405511002|0|4863.0|0
0|2020-01-21|4643.0|0|220.0|0|4.523956405511002|0|4863.0|0
0|2020-01-22|4643.0|0|220.0|0|4.523956405511002|0|4863.0|0
