|dates|Lincoln_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Lincoln_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Lincoln_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Lincoln_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Lincoln_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Lincoln_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Lincoln_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Lincoln_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-02|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-03|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-04|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-05|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-06|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-07|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-08|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-09|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-10|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-11|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-12|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-13|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-14|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-15|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-16|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-17|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-18|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-19|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-20|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-21|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-22|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-23|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-24|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-25|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-26|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-27|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-28|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-29|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-30|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-01-31|8798.5|0|495.0|0|5.326303330284608|0|9293.5|0
0|2020-02-01|8863.0|0|464.0|0|4.974804331510668|0|9327.0|0
0|2020-02-02|8863.0|0|464.0|0|4.974804331510668|0|9327.0|0
0|2020-02-03|8863.0|0|464.0|0|4.974804331510668|0|9327.0|0
0|2020-02-04|8863.0|0|464.0|0|4.974804331510668|0|9327.0|0
0|2020-02-05|8863.0|0|464.0|0|4.974804331510668|0|9327.0|0
0|2020-02-06|8863.0|0|464.0|0|4.974804331510668|0|9327.0|0
