|dates|Burt_Nebraska_UnitedStates.BLS_EmployedPopulation.data|Burt_Nebraska_UnitedStates.BLS_EmployedPopulation.missing|Burt_Nebraska_UnitedStates.BLS_UnemployedPopulation.data|Burt_Nebraska_UnitedStates.BLS_UnemployedPopulation.missing|Burt_Nebraska_UnitedStates.BLS_UnemploymentRate.data|Burt_Nebraska_UnitedStates.BLS_UnemploymentRate.missing|Burt_Nebraska_UnitedStates.BLS_LaborForcePopulation.data|Burt_Nebraska_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
0|2020-01-02|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
0|2020-01-03|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
0|2020-01-04|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
0|2020-01-05|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
0|2020-01-06|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
0|2020-01-07|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
0|2020-01-08|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
0|2020-01-09|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
0|2020-01-10|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
0|2020-01-11|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
0|2020-01-12|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
0|2020-01-13|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
0|2020-01-14|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
0|2020-01-15|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
0|2020-01-16|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
0|2020-01-17|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
0|2020-01-18|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
0|2020-01-19|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
0|2020-01-20|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
0|2020-01-21|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
0|2020-01-22|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
0|2020-01-23|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
0|2020-01-24|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
0|2020-01-25|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
0|2020-01-26|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
0|2020-01-27|3365.0|0|148.0|0|4.212923427270139|0|3513.0|0
