|dates|Donley_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Donley_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Donley_Texas_UnitedStates.Male_Total_Population.data|Donley_Texas_UnitedStates.Male_Total_Population.missing|Donley_Texas_UnitedStates.Female_Total_Population.data|Donley_Texas_UnitedStates.Female_Total_Population.missing|Donley_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Donley_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-02|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-03|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-04|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-05|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-06|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-07|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-08|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-09|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-10|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-11|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-12|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-13|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-14|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-15|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-16|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-17|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-18|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-19|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-20|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-21|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-22|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-23|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-24|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-25|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-26|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-27|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-28|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-29|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2020-01-30|796.0|0|1630.0|0|1689.0|0|654.0|0
