|dates|Nance_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Nance_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Nance_Nebraska_UnitedStates.Male_Total_Population.data|Nance_Nebraska_UnitedStates.Male_Total_Population.missing|Nance_Nebraska_UnitedStates.Female_Total_Population.data|Nance_Nebraska_UnitedStates.Female_Total_Population.missing|Nance_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Nance_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-02|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-03|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-04|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-05|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-06|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-07|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-08|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-09|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-10|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-11|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-12|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-13|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-14|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-15|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-16|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-17|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-18|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-19|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-20|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-21|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-22|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-23|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-24|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-25|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-26|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-27|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-28|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-29|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-30|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-01-31|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-02-01|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-02-02|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-02-03|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-02-04|755.0|0|1754.0|0|1778.0|0|791.0|0
0|2020-02-05|755.0|0|1754.0|0|1778.0|0|791.0|0
