|dates|Rooks_Kansas_UnitedStates.BLS_EmployedPopulation.data|Rooks_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Rooks_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Rooks_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Rooks_Kansas_UnitedStates.BLS_UnemploymentRate.data|Rooks_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Rooks_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Rooks_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-02|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-03|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-04|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-05|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-06|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-07|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-08|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-09|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-10|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-11|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-12|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-13|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-14|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-15|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-16|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-17|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-18|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-19|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-20|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-21|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-22|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-23|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-24|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-25|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-26|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-27|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-28|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-29|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-30|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-01-31|2393.5|0|80.0|0|3.234283404083283|0|2473.5|0
0|2020-02-01|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-02|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-03|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-04|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-05|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-06|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-07|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-08|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-09|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-10|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-11|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-12|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-13|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-14|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-15|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-16|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-17|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-18|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-19|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-20|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-21|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-22|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-23|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-24|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-25|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-26|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-27|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-28|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-02-29|2408.0|0|76.0|0|3.0595813204508855|0|2484.0|0
0|2020-03-01|2421.5|0|77.0|0|3.0818491094656792|0|2498.5|0
0|2020-03-02|2421.5|0|77.0|0|3.0818491094656792|0|2498.5|0
0|2020-03-03|2421.5|0|77.0|0|3.0818491094656792|0|2498.5|0
0|2020-03-04|2421.5|0|77.0|0|3.0818491094656792|0|2498.5|0
0|2020-03-05|2421.5|0|77.0|0|3.0818491094656792|0|2498.5|0
0|2020-03-06|2421.5|0|77.0|0|3.0818491094656792|0|2498.5|0
0|2020-03-07|2421.5|0|77.0|0|3.0818491094656792|0|2498.5|0
0|2020-03-08|2421.5|0|77.0|0|3.0818491094656792|0|2498.5|0
0|2020-03-09|2421.5|0|77.0|0|3.0818491094656792|0|2498.5|0
0|2020-03-10|2421.5|0|77.0|0|3.0818491094656792|0|2498.5|0
0|2020-03-11|2421.5|0|77.0|0|3.0818491094656792|0|2498.5|0
0|2020-03-12|2421.5|0|77.0|0|3.0818491094656792|0|2498.5|0
0|2020-03-13|2421.5|0|77.0|0|3.0818491094656792|0|2498.5|0
0|2020-03-14|2421.5|0|77.0|0|3.0818491094656792|0|2498.5|0
0|2020-03-15|2421.5|0|77.0|0|3.0818491094656792|0|2498.5|0
