|dates|Dolores_Colorado_UnitedStates.AveragePrecipitationTotal.data|Dolores_Colorado_UnitedStates.AveragePrecipitationTotal.missing|Dolores_Colorado_UnitedStates.AveragePrecipitation.data|Dolores_Colorado_UnitedStates.AveragePrecipitation.missing|Dolores_Colorado_UnitedStates.AverageWindDirection.data|Dolores_Colorado_UnitedStates.AverageWindDirection.missing|Dolores_Colorado_UnitedStates.AverageWindSpeed.data|Dolores_Colorado_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.00125|0|107.6736111111111|0|4.309027777777778|0
0|2020-01-02|0.000625|0|0.0|0|213.33333333333334|0|7.138888888888888|0
0|2020-01-03|0.0|0|0.0|0|121.25|0|8.166666666666666|0
0|2020-01-04|0.0|0|0.0|0|87.91666666666667|0|4.75|0
0|2020-01-05|0.0|0|0.0|0|89.16666666666667|0|4.875|0
0|2020-01-06|0.0|0|0.0|0|138.33333333333334|0|5.875|0
0|2020-01-07|0.0|0|0.0|0|87.08333333333333|0|5.083333333333333|0
0|2020-01-08|0.0|0|0.0|0|114.16666666666667|0|5.541666666666667|0
0|2020-01-09|0.0|0|0.0|0|101.08333333333333|0|4.704166666666667|0
0|2020-01-10|0.0|0|0.0|0|155.0|0|8.333333333333334|0
0|2020-01-11|0.0|0|0.0|0|75.83333333333333|0|3.5|0
0|2020-01-12|0.0008333333333333334|0|0.0006481481481481482|0|83.91203703703704|0|4.847222222222222|0
0|2020-01-13|0.0|0|0.0|0|87.08333333333333|0|5.958333333333333|0
0|2020-01-14|0.0|0|0.0|0|96.66666666666667|0|6.958333333333333|0
0|2020-01-15|0.0|0|0.0|0|48.75|0|3.375|0
0|2020-01-16|0.0|0|0.0|0|123.8888888888889|0|7.229166666666667|0
0|2020-01-17|0.0|0|0.00010416666666666667|0|183.9027777777778|0|10.027083333333334|0
0|2020-01-18|0.0004166666666666667|0|0.0|0|121.66666666666667|0|5.791666666666667|0
0|2020-01-19|0.0|0|0.0|0|89.16666666666667|0|3.375|0
0|2020-01-20|0.0|0|0.0|0|76.66666666666667|0|3.875|0
0|2020-01-21|0.0004166666666666667|0|0.007541666666666665|0|87.71527777777777|0|2.78125|0
0|2020-01-22|0.0031944444444444446|0|0.0|0|160.2777777777778|0|5.423611111111112|0
0|2020-01-23|0.0|0|0.0|0|161.25|0|8.208333333333334|0
0|2020-01-24|0.0|0|0.0|0|77.5|0|3.5|0
0|2020-01-25|0.0|0|0.0|0|118.75|0|6.625|0
0|2020-01-26|0.0|0|0.0|0|100.41666666666667|0|4.583333333333333|0
0|2020-01-27|0.0|0|0.004423611111111112|0|184.2361111111111|0|7.111111111111112|0
0|2020-01-28|0.006666666666666667|0|0.0|0|155.41666666666666|0|7.25|0
0|2020-01-29|0.0|0|0.0|0|123.75|0|3.9166666666666665|0
0|2020-01-30|0.0|0|0.0|0|207.5|0|8.291666666666666|0
0|2020-01-31|0.0|0|0.0|0|157.08333333333334|0|7.416666666666667|0
