|dates|Leslie_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Leslie_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Leslie_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Leslie_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Leslie_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Leslie_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Leslie_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Leslie_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2453.0|0|324.5|0|11.683168316831683|0|2777.5|0
0|2020-01-02|2453.0|0|324.5|0|11.683168316831683|0|2777.5|0
0|2020-01-03|2453.0|0|324.5|0|11.683168316831683|0|2777.5|0
0|2020-01-04|2453.0|0|324.5|0|11.683168316831683|0|2777.5|0
0|2020-01-05|2453.0|0|324.5|0|11.683168316831683|0|2777.5|0
0|2020-01-06|2453.0|0|324.5|0|11.683168316831683|0|2777.5|0
0|2020-01-07|2453.0|0|324.5|0|11.683168316831683|0|2777.5|0
0|2020-01-08|2453.0|0|324.5|0|11.683168316831683|0|2777.5|0
0|2020-01-09|2453.0|0|324.5|0|11.683168316831683|0|2777.5|0
0|2020-01-10|2453.0|0|324.5|0|11.683168316831683|0|2777.5|0
0|2020-01-11|2453.0|0|324.5|0|11.683168316831683|0|2777.5|0
0|2020-01-12|2453.0|0|324.5|0|11.683168316831683|0|2777.5|0
0|2020-01-13|2453.0|0|324.5|0|11.683168316831683|0|2777.5|0
0|2020-01-14|2453.0|0|324.5|0|11.683168316831683|0|2777.5|0
0|2020-01-15|2453.0|0|324.5|0|11.683168316831683|0|2777.5|0
0|2020-01-16|2453.0|0|324.5|0|11.683168316831683|0|2777.5|0
0|2020-01-17|2453.0|0|324.5|0|11.683168316831683|0|2777.5|0
0|2020-01-18|2453.0|0|324.5|0|11.683168316831683|0|2777.5|0
0|2020-01-19|2453.0|0|324.5|0|11.683168316831683|0|2777.5|0
0|2020-01-20|2453.0|0|324.5|0|11.683168316831683|0|2777.5|0
0|2020-01-21|2453.0|0|324.5|0|11.683168316831683|0|2777.5|0
0|2020-01-22|2453.0|0|324.5|0|11.683168316831683|0|2777.5|0
0|2020-01-23|2453.0|0|324.5|0|11.683168316831683|0|2777.5|0
0|2020-01-24|2453.0|0|324.5|0|11.683168316831683|0|2777.5|0
0|2020-01-25|2453.0|0|324.5|0|11.683168316831683|0|2777.5|0
