|dates|Barry_Michigan_UnitedStates.BLS_EmployedPopulation.data|Barry_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Barry_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Barry_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Barry_Michigan_UnitedStates.BLS_UnemploymentRate.data|Barry_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Barry_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Barry_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-02|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-03|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-04|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-05|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-06|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-07|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-08|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-09|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-10|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-11|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-12|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-13|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-14|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-15|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-16|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-17|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-18|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-19|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-20|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-21|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-22|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-23|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-24|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-25|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-26|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-27|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-28|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-29|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-30|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-01-31|30611.5|0|1106.0|0|3.487033971782139|0|31717.5|0
0|2020-02-01|31151.5|0|1007.5|0|3.132871046985292|0|32159.0|0
0|2020-02-02|31151.5|0|1007.5|0|3.132871046985292|0|32159.0|0
0|2020-02-03|31151.5|0|1007.5|0|3.132871046985292|0|32159.0|0
0|2020-02-04|31151.5|0|1007.5|0|3.132871046985292|0|32159.0|0
0|2020-02-05|31151.5|0|1007.5|0|3.132871046985292|0|32159.0|0
0|2020-02-06|31151.5|0|1007.5|0|3.132871046985292|0|32159.0|0
0|2020-02-07|31151.5|0|1007.5|0|3.132871046985292|0|32159.0|0
0|2020-02-08|31151.5|0|1007.5|0|3.132871046985292|0|32159.0|0
0|2020-02-09|31151.5|0|1007.5|0|3.132871046985292|0|32159.0|0
0|2020-02-10|31151.5|0|1007.5|0|3.132871046985292|0|32159.0|0
0|2020-02-11|31151.5|0|1007.5|0|3.132871046985292|0|32159.0|0
0|2020-02-12|31151.5|0|1007.5|0|3.132871046985292|0|32159.0|0
0|2020-02-13|31151.5|0|1007.5|0|3.132871046985292|0|32159.0|0
