|dates|Perry_Illinois_UnitedStates.BLS_EmployedPopulation.data|Perry_Illinois_UnitedStates.BLS_EmployedPopulation.missing|Perry_Illinois_UnitedStates.BLS_UnemployedPopulation.data|Perry_Illinois_UnitedStates.BLS_UnemployedPopulation.missing|Perry_Illinois_UnitedStates.BLS_UnemploymentRate.data|Perry_Illinois_UnitedStates.BLS_UnemploymentRate.missing|Perry_Illinois_UnitedStates.BLS_LaborForcePopulation.data|Perry_Illinois_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-02|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-03|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-04|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-05|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-06|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-07|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-08|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-09|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-10|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-11|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-12|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-13|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-14|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-15|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-16|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-17|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-18|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-19|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-20|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-21|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-22|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-23|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-24|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-25|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-26|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-27|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-28|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-29|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-30|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-01-31|7765.5|0|360.5|0|4.436377061284765|0|8126.0|0
0|2020-02-01|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-02|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-03|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-04|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-05|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-06|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-07|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-08|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-09|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-10|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-11|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-12|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-13|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-14|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-15|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-16|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-17|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-18|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-19|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-20|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-21|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-22|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-23|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-24|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-25|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-26|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-27|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-28|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-02-29|7789.5|0|314.0|0|3.874868883815635|0|8103.5|0
0|2020-03-01|7563.5|0|299.0|0|3.8028616852146264|0|7862.5|0
0|2020-03-02|7563.5|0|299.0|0|3.8028616852146264|0|7862.5|0
0|2020-03-03|7563.5|0|299.0|0|3.8028616852146264|0|7862.5|0
0|2020-03-04|7563.5|0|299.0|0|3.8028616852146264|0|7862.5|0
0|2020-03-05|7563.5|0|299.0|0|3.8028616852146264|0|7862.5|0
0|2020-03-06|7563.5|0|299.0|0|3.8028616852146264|0|7862.5|0
0|2020-03-07|7563.5|0|299.0|0|3.8028616852146264|0|7862.5|0
0|2020-03-08|7563.5|0|299.0|0|3.8028616852146264|0|7862.5|0
0|2020-03-09|7563.5|0|299.0|0|3.8028616852146264|0|7862.5|0
0|2020-03-10|7563.5|0|299.0|0|3.8028616852146264|0|7862.5|0
0|2020-03-11|7563.5|0|299.0|0|3.8028616852146264|0|7862.5|0
0|2020-03-12|7563.5|0|299.0|0|3.8028616852146264|0|7862.5|0
0|2020-03-13|7563.5|0|299.0|0|3.8028616852146264|0|7862.5|0
0|2020-03-14|7563.5|0|299.0|0|3.8028616852146264|0|7862.5|0
0|2020-03-15|7563.5|0|299.0|0|3.8028616852146264|0|7862.5|0
0|2020-03-16|7563.5|0|299.0|0|3.8028616852146264|0|7862.5|0
0|2020-03-17|7563.5|0|299.0|0|3.8028616852146264|0|7862.5|0
0|2020-03-18|7563.5|0|299.0|0|3.8028616852146264|0|7862.5|0
0|2020-03-19|7563.5|0|299.0|0|3.8028616852146264|0|7862.5|0
0|2020-03-20|7563.5|0|299.0|0|3.8028616852146264|0|7862.5|0
