|dates|Huntingdon_Pennsylvania_UnitedStates.BLS_EmployedPopulation.data|Huntingdon_Pennsylvania_UnitedStates.BLS_EmployedPopulation.missing|Huntingdon_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.data|Huntingdon_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.missing|Huntingdon_Pennsylvania_UnitedStates.BLS_UnemploymentRate.data|Huntingdon_Pennsylvania_UnitedStates.BLS_UnemploymentRate.missing|Huntingdon_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.data|Huntingdon_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-02|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-03|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-04|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-05|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-06|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-07|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-08|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-09|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-10|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-11|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-12|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-13|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-14|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-15|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-16|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-17|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-18|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-19|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-20|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-21|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-22|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-23|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-24|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-25|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-26|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-27|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-28|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-29|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-30|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-01-31|18220.0|0|1641.5|0|8.264733277949802|0|19861.5|0
0|2020-02-01|18547.0|0|1695.5|0|8.375941706804989|0|20242.5|0
0|2020-02-02|18547.0|0|1695.5|0|8.375941706804989|0|20242.5|0
0|2020-02-03|18547.0|0|1695.5|0|8.375941706804989|0|20242.5|0
0|2020-02-04|18547.0|0|1695.5|0|8.375941706804989|0|20242.5|0
0|2020-02-05|18547.0|0|1695.5|0|8.375941706804989|0|20242.5|0
0|2020-02-06|18547.0|0|1695.5|0|8.375941706804989|0|20242.5|0
0|2020-02-07|18547.0|0|1695.5|0|8.375941706804989|0|20242.5|0
0|2020-02-08|18547.0|0|1695.5|0|8.375941706804989|0|20242.5|0
0|2020-02-09|18547.0|0|1695.5|0|8.375941706804989|0|20242.5|0
0|2020-02-10|18547.0|0|1695.5|0|8.375941706804989|0|20242.5|0
0|2020-02-11|18547.0|0|1695.5|0|8.375941706804989|0|20242.5|0
0|2020-02-12|18547.0|0|1695.5|0|8.375941706804989|0|20242.5|0
0|2020-02-13|18547.0|0|1695.5|0|8.375941706804989|0|20242.5|0
0|2020-02-14|18547.0|0|1695.5|0|8.375941706804989|0|20242.5|0
0|2020-02-15|18547.0|0|1695.5|0|8.375941706804989|0|20242.5|0
0|2020-02-16|18547.0|0|1695.5|0|8.375941706804989|0|20242.5|0
0|2020-02-17|18547.0|0|1695.5|0|8.375941706804989|0|20242.5|0
0|2020-02-18|18547.0|0|1695.5|0|8.375941706804989|0|20242.5|0
0|2020-02-19|18547.0|0|1695.5|0|8.375941706804989|0|20242.5|0
0|2020-02-20|18547.0|0|1695.5|0|8.375941706804989|0|20242.5|0
0|2020-02-21|18547.0|0|1695.5|0|8.375941706804989|0|20242.5|0
0|2020-02-22|18547.0|0|1695.5|0|8.375941706804989|0|20242.5|0
0|2020-02-23|18547.0|0|1695.5|0|8.375941706804989|0|20242.5|0
0|2020-02-24|18547.0|0|1695.5|0|8.375941706804989|0|20242.5|0
0|2020-02-25|18547.0|0|1695.5|0|8.375941706804989|0|20242.5|0
0|2020-02-26|18547.0|0|1695.5|0|8.375941706804989|0|20242.5|0
