|dates|Park_Colorado_UnitedStates.BLS_EmployedPopulation.data|Park_Colorado_UnitedStates.BLS_EmployedPopulation.missing|Park_Colorado_UnitedStates.BLS_UnemployedPopulation.data|Park_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|Park_Colorado_UnitedStates.BLS_UnemploymentRate.data|Park_Colorado_UnitedStates.BLS_UnemploymentRate.missing|Park_Colorado_UnitedStates.BLS_LaborForcePopulation.data|Park_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-02|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-03|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-04|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-05|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-06|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-07|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-08|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-09|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-10|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-11|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-12|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-13|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-14|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-15|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-16|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-17|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-18|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-19|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-20|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-21|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-22|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-23|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-24|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-25|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-26|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-27|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-28|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-29|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-30|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-01-31|11031.5|0|286.5|0|2.531365965718325|0|11318.0|0
0|2020-02-01|11141.5|0|290.5|0|2.54111266620014|0|11432.0|0
0|2020-02-02|11141.5|0|290.5|0|2.54111266620014|0|11432.0|0
0|2020-02-03|11141.5|0|290.5|0|2.54111266620014|0|11432.0|0
0|2020-02-04|11141.5|0|290.5|0|2.54111266620014|0|11432.0|0
0|2020-02-05|11141.5|0|290.5|0|2.54111266620014|0|11432.0|0
0|2020-02-06|11141.5|0|290.5|0|2.54111266620014|0|11432.0|0
0|2020-02-07|11141.5|0|290.5|0|2.54111266620014|0|11432.0|0
0|2020-02-08|11141.5|0|290.5|0|2.54111266620014|0|11432.0|0
0|2020-02-09|11141.5|0|290.5|0|2.54111266620014|0|11432.0|0
0|2020-02-10|11141.5|0|290.5|0|2.54111266620014|0|11432.0|0
0|2020-02-11|11141.5|0|290.5|0|2.54111266620014|0|11432.0|0
0|2020-02-12|11141.5|0|290.5|0|2.54111266620014|0|11432.0|0
0|2020-02-13|11141.5|0|290.5|0|2.54111266620014|0|11432.0|0
0|2020-02-14|11141.5|0|290.5|0|2.54111266620014|0|11432.0|0
0|2020-02-15|11141.5|0|290.5|0|2.54111266620014|0|11432.0|0
0|2020-02-16|11141.5|0|290.5|0|2.54111266620014|0|11432.0|0
0|2020-02-17|11141.5|0|290.5|0|2.54111266620014|0|11432.0|0
