|dates|Suffolk_NewYork_UnitedStates.BLS_EmployedPopulation.data|Suffolk_NewYork_UnitedStates.BLS_EmployedPopulation.missing|Suffolk_NewYork_UnitedStates.BLS_UnemployedPopulation.data|Suffolk_NewYork_UnitedStates.BLS_UnemployedPopulation.missing|Suffolk_NewYork_UnitedStates.BLS_UnemploymentRate.data|Suffolk_NewYork_UnitedStates.BLS_UnemploymentRate.missing|Suffolk_NewYork_UnitedStates.BLS_LaborForcePopulation.data|Suffolk_NewYork_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-02|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-03|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-04|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-05|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-06|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-07|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-08|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-09|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-10|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-11|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-12|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-13|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-14|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-15|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-16|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-17|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-18|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-19|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-20|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-21|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-22|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-23|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-24|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-25|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-26|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-27|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-28|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-29|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-30|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-01-31|750738.5|0|32279.0|0|4.12238551501084|0|783017.5|0
0|2020-02-01|745206.5|0|31621.5|0|4.070592203164664|0|776828.0|0
0|2020-02-02|745206.5|0|31621.5|0|4.070592203164664|0|776828.0|0
0|2020-02-03|745206.5|0|31621.5|0|4.070592203164664|0|776828.0|0
0|2020-02-04|745206.5|0|31621.5|0|4.070592203164664|0|776828.0|0
0|2020-02-05|745206.5|0|31621.5|0|4.070592203164664|0|776828.0|0
0|2020-02-06|745206.5|0|31621.5|0|4.070592203164664|0|776828.0|0
