|dates|Hayes_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hayes_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hayes_Nebraska_UnitedStates.Male_Total_Population.data|Hayes_Nebraska_UnitedStates.Male_Total_Population.missing|Hayes_Nebraska_UnitedStates.Female_Total_Population.data|Hayes_Nebraska_UnitedStates.Female_Total_Population.missing|Hayes_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Hayes_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-02|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-03|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-04|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-05|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-06|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-07|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-08|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-09|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-10|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-11|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-12|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-13|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-14|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-15|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-16|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-17|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-18|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-19|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-20|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-21|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-22|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-23|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-24|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-25|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-26|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-27|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-28|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-29|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-30|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-01-31|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-02-01|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-02-02|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-02-03|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-02-04|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-02-05|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-02-06|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-02-07|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-02-08|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-02-09|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-02-10|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-02-11|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-02-12|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-02-13|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-02-14|252.0|0|474.0|0|442.0|0|206.0|0
0|2020-02-15|252.0|0|474.0|0|442.0|0|206.0|0
