|dates|Clinton_NewYork_UnitedStates.BLS_EmployedPopulation.data|Clinton_NewYork_UnitedStates.BLS_EmployedPopulation.missing|Clinton_NewYork_UnitedStates.BLS_UnemployedPopulation.data|Clinton_NewYork_UnitedStates.BLS_UnemployedPopulation.missing|Clinton_NewYork_UnitedStates.BLS_UnemploymentRate.data|Clinton_NewYork_UnitedStates.BLS_UnemploymentRate.missing|Clinton_NewYork_UnitedStates.BLS_LaborForcePopulation.data|Clinton_NewYork_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
0|2020-01-02|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
0|2020-01-03|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
0|2020-01-04|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
0|2020-01-05|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
0|2020-01-06|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
0|2020-01-07|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
0|2020-01-08|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
0|2020-01-09|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
0|2020-01-10|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
0|2020-01-11|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
0|2020-01-12|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
0|2020-01-13|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
0|2020-01-14|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
0|2020-01-15|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
0|2020-01-16|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
0|2020-01-17|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
0|2020-01-18|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
0|2020-01-19|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
0|2020-01-20|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
0|2020-01-21|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
0|2020-01-22|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
0|2020-01-23|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
0|2020-01-24|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
0|2020-01-25|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
0|2020-01-26|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
0|2020-01-27|34433.0|0|2017.5|0|5.534903499266128|0|36450.5|0
