|dates|Logan_Illinois_UnitedStates.BLS_EmployedPopulation.data|Logan_Illinois_UnitedStates.BLS_EmployedPopulation.missing|Logan_Illinois_UnitedStates.BLS_UnemployedPopulation.data|Logan_Illinois_UnitedStates.BLS_UnemployedPopulation.missing|Logan_Illinois_UnitedStates.BLS_UnemploymentRate.data|Logan_Illinois_UnitedStates.BLS_UnemploymentRate.missing|Logan_Illinois_UnitedStates.BLS_LaborForcePopulation.data|Logan_Illinois_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-02|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-03|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-04|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-05|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-06|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-07|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-08|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-09|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-10|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-11|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-12|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-13|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-14|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-15|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-16|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-17|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-18|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-19|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-20|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-21|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-22|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-23|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-24|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-25|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-26|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-27|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-28|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-29|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-30|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-01-31|11815.5|0|488.0|0|3.9663510383224287|0|12303.5|0
0|2020-02-01|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-02|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-03|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-04|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-05|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-06|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-07|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-08|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-09|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-10|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-11|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-12|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-13|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-14|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-15|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-16|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-17|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-18|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-19|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-20|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-21|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-22|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-23|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-24|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-25|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-26|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-27|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-28|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-02-29|11854.0|0|421.5|0|3.433668689666409|0|12275.5|0
0|2020-03-01|11519.0|0|412.0|0|3.453189171066968|0|11931.0|0
0|2020-03-02|11519.0|0|412.0|0|3.453189171066968|0|11931.0|0
0|2020-03-03|11519.0|0|412.0|0|3.453189171066968|0|11931.0|0
