|dates|Schoolcraft_Michigan_UnitedStates.BLS_EmployedPopulation.data|Schoolcraft_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Schoolcraft_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Schoolcraft_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Schoolcraft_Michigan_UnitedStates.BLS_UnemploymentRate.data|Schoolcraft_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Schoolcraft_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Schoolcraft_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-02|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-03|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-04|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-05|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-06|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-07|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-08|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-09|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-10|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-11|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-12|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-13|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-14|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-15|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-16|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-17|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-18|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-19|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-20|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-21|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-22|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-23|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-24|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-25|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-26|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-27|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-28|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-29|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-30|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-01-31|2995.5|0|299.0|0|9.075732281074519|0|3294.5|0
0|2020-02-01|2997.5|0|251.5|0|7.740843336411204|0|3249.0|0
0|2020-02-02|2997.5|0|251.5|0|7.740843336411204|0|3249.0|0
0|2020-02-03|2997.5|0|251.5|0|7.740843336411204|0|3249.0|0
0|2020-02-04|2997.5|0|251.5|0|7.740843336411204|0|3249.0|0
0|2020-02-05|2997.5|0|251.5|0|7.740843336411204|0|3249.0|0
0|2020-02-06|2997.5|0|251.5|0|7.740843336411204|0|3249.0|0
0|2020-02-07|2997.5|0|251.5|0|7.740843336411204|0|3249.0|0
0|2020-02-08|2997.5|0|251.5|0|7.740843336411204|0|3249.0|0
0|2020-02-09|2997.5|0|251.5|0|7.740843336411204|0|3249.0|0
0|2020-02-10|2997.5|0|251.5|0|7.740843336411204|0|3249.0|0
0|2020-02-11|2997.5|0|251.5|0|7.740843336411204|0|3249.0|0
0|2020-02-12|2997.5|0|251.5|0|7.740843336411204|0|3249.0|0
0|2020-02-13|2997.5|0|251.5|0|7.740843336411204|0|3249.0|0
0|2020-02-14|2997.5|0|251.5|0|7.740843336411204|0|3249.0|0
0|2020-02-15|2997.5|0|251.5|0|7.740843336411204|0|3249.0|0
0|2020-02-16|2997.5|0|251.5|0|7.740843336411204|0|3249.0|0
0|2020-02-17|2997.5|0|251.5|0|7.740843336411204|0|3249.0|0
0|2020-02-18|2997.5|0|251.5|0|7.740843336411204|0|3249.0|0
0|2020-02-19|2997.5|0|251.5|0|7.740843336411204|0|3249.0|0
