|dates|Platte_Missouri_UnitedStates.BLS_EmployedPopulation.data|Platte_Missouri_UnitedStates.BLS_EmployedPopulation.missing|Platte_Missouri_UnitedStates.BLS_UnemployedPopulation.data|Platte_Missouri_UnitedStates.BLS_UnemployedPopulation.missing|Platte_Missouri_UnitedStates.BLS_UnemploymentRate.data|Platte_Missouri_UnitedStates.BLS_UnemploymentRate.missing|Platte_Missouri_UnitedStates.BLS_LaborForcePopulation.data|Platte_Missouri_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-02|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-03|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-04|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-05|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-06|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-07|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-08|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-09|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-10|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-11|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-12|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-13|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-14|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-15|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-16|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-17|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-18|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-19|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-20|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-21|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-22|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-23|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-24|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-25|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-26|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-27|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-28|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-29|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-30|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-01-31|57067.0|0|1833.5|0|3.112876800706276|0|58900.5|0
0|2020-02-01|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-02|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-03|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-04|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-05|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-06|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-07|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-08|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-09|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-10|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-11|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-12|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-13|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-14|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-15|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-16|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-17|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-18|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-19|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-20|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-21|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-22|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-23|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-24|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-25|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-26|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-27|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-28|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-02-29|57390.0|0|1637.5|0|2.7741307017915378|0|59027.5|0
0|2020-03-01|57365.0|0|1864.5|0|3.147924598384251|0|59229.5|0
0|2020-03-02|57365.0|0|1864.5|0|3.147924598384251|0|59229.5|0
0|2020-03-03|57365.0|0|1864.5|0|3.147924598384251|0|59229.5|0
