|dates|Washington_NewYork_UnitedStates.BLS_EmployedPopulation.data|Washington_NewYork_UnitedStates.BLS_EmployedPopulation.missing|Washington_NewYork_UnitedStates.BLS_UnemployedPopulation.data|Washington_NewYork_UnitedStates.BLS_UnemployedPopulation.missing|Washington_NewYork_UnitedStates.BLS_UnemploymentRate.data|Washington_NewYork_UnitedStates.BLS_UnemploymentRate.missing|Washington_NewYork_UnitedStates.BLS_LaborForcePopulation.data|Washington_NewYork_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-02|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-03|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-04|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-05|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-06|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-07|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-08|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-09|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-10|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-11|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-12|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-13|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-14|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-15|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-16|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-17|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-18|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-19|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-20|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-21|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-22|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-23|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-24|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-25|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-26|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-27|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-28|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-29|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-30|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-01-31|26319.5|0|1390.5|0|5.018044027426922|0|27710.0|0
0|2020-02-01|26034.5|0|1338.0|0|4.888117636313819|0|27372.5|0
0|2020-02-02|26034.5|0|1338.0|0|4.888117636313819|0|27372.5|0
0|2020-02-03|26034.5|0|1338.0|0|4.888117636313819|0|27372.5|0
0|2020-02-04|26034.5|0|1338.0|0|4.888117636313819|0|27372.5|0
0|2020-02-05|26034.5|0|1338.0|0|4.888117636313819|0|27372.5|0
0|2020-02-06|26034.5|0|1338.0|0|4.888117636313819|0|27372.5|0
0|2020-02-07|26034.5|0|1338.0|0|4.888117636313819|0|27372.5|0
0|2020-02-08|26034.5|0|1338.0|0|4.888117636313819|0|27372.5|0
0|2020-02-09|26034.5|0|1338.0|0|4.888117636313819|0|27372.5|0
0|2020-02-10|26034.5|0|1338.0|0|4.888117636313819|0|27372.5|0
