|dates|Shelby_Ohio_UnitedStates.BLS_EmployedPopulation.data|Shelby_Ohio_UnitedStates.BLS_EmployedPopulation.missing|Shelby_Ohio_UnitedStates.BLS_UnemployedPopulation.data|Shelby_Ohio_UnitedStates.BLS_UnemployedPopulation.missing|Shelby_Ohio_UnitedStates.BLS_UnemploymentRate.data|Shelby_Ohio_UnitedStates.BLS_UnemploymentRate.missing|Shelby_Ohio_UnitedStates.BLS_LaborForcePopulation.data|Shelby_Ohio_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|22842.0|0|1076.0|0|4.49870390500878|0|23918.0|0
0|2020-01-02|22842.0|0|1076.0|0|4.49870390500878|0|23918.0|0
0|2020-01-03|22842.0|0|1076.0|0|4.49870390500878|0|23918.0|0
0|2020-01-04|22842.0|0|1076.0|0|4.49870390500878|0|23918.0|0
0|2020-01-05|22842.0|0|1076.0|0|4.49870390500878|0|23918.0|0
0|2020-01-06|22842.0|0|1076.0|0|4.49870390500878|0|23918.0|0
0|2020-01-07|22842.0|0|1076.0|0|4.49870390500878|0|23918.0|0
0|2020-01-08|22842.0|0|1076.0|0|4.49870390500878|0|23918.0|0
0|2020-01-09|22842.0|0|1076.0|0|4.49870390500878|0|23918.0|0
0|2020-01-10|22842.0|0|1076.0|0|4.49870390500878|0|23918.0|0
0|2020-01-11|22842.0|0|1076.0|0|4.49870390500878|0|23918.0|0
0|2020-01-12|22842.0|0|1076.0|0|4.49870390500878|0|23918.0|0
0|2020-01-13|22842.0|0|1076.0|0|4.49870390500878|0|23918.0|0
0|2020-01-14|22842.0|0|1076.0|0|4.49870390500878|0|23918.0|0
0|2020-01-15|22842.0|0|1076.0|0|4.49870390500878|0|23918.0|0
0|2020-01-16|22842.0|0|1076.0|0|4.49870390500878|0|23918.0|0
0|2020-01-17|22842.0|0|1076.0|0|4.49870390500878|0|23918.0|0
0|2020-01-18|22842.0|0|1076.0|0|4.49870390500878|0|23918.0|0
