|dates|Grant_NewMexico_UnitedStates.BLS_EmployedPopulation.data|Grant_NewMexico_UnitedStates.BLS_EmployedPopulation.missing|Grant_NewMexico_UnitedStates.BLS_UnemployedPopulation.data|Grant_NewMexico_UnitedStates.BLS_UnemployedPopulation.missing|Grant_NewMexico_UnitedStates.BLS_UnemploymentRate.data|Grant_NewMexico_UnitedStates.BLS_UnemploymentRate.missing|Grant_NewMexico_UnitedStates.BLS_LaborForcePopulation.data|Grant_NewMexico_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-02|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-03|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-04|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-05|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-06|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-07|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-08|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-09|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-10|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-11|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-12|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-13|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-14|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-15|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-16|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-17|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-18|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-19|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-20|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-21|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-22|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-23|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-24|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-25|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-26|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-27|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-28|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-29|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-30|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-01-31|11580.5|0|621.0|0|5.089538171536287|0|12201.5|0
0|2020-02-01|11672.5|0|599.5|0|4.885104302477184|0|12272.0|0
