|dates|Nicholas_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Nicholas_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Nicholas_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Nicholas_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Nicholas_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Nicholas_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Nicholas_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Nicholas_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-02|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-03|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-04|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-05|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-06|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-07|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-08|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-09|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-10|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-11|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-12|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-13|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-14|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-15|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-16|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-17|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-18|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-19|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-20|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-21|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-22|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-23|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-24|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-25|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-26|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-27|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-28|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-29|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-30|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-01-31|3164.0|0|176.0|0|5.269461077844311|0|3340.0|0
0|2020-02-01|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-02|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-03|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-04|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-05|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-06|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-07|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-08|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-09|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-10|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-11|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-12|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-13|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-14|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-15|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-16|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-17|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-18|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-19|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-20|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-21|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-22|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-23|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-24|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-25|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-26|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-27|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-28|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-02-29|3156.0|0|169.5|0|5.096977898060442|0|3325.5|0
0|2020-03-01|3121.0|0|183.0|0|5.538740920096853|0|3304.0|0
0|2020-03-02|3121.0|0|183.0|0|5.538740920096853|0|3304.0|0
0|2020-03-03|3121.0|0|183.0|0|5.538740920096853|0|3304.0|0
0|2020-03-04|3121.0|0|183.0|0|5.538740920096853|0|3304.0|0
0|2020-03-05|3121.0|0|183.0|0|5.538740920096853|0|3304.0|0
0|2020-03-06|3121.0|0|183.0|0|5.538740920096853|0|3304.0|0
0|2020-03-07|3121.0|0|183.0|0|5.538740920096853|0|3304.0|0
0|2020-03-08|3121.0|0|183.0|0|5.538740920096853|0|3304.0|0
0|2020-03-09|3121.0|0|183.0|0|5.538740920096853|0|3304.0|0
0|2020-03-10|3121.0|0|183.0|0|5.538740920096853|0|3304.0|0
0|2020-03-11|3121.0|0|183.0|0|5.538740920096853|0|3304.0|0
0|2020-03-12|3121.0|0|183.0|0|5.538740920096853|0|3304.0|0
0|2020-03-13|3121.0|0|183.0|0|5.538740920096853|0|3304.0|0
0|2020-03-14|3121.0|0|183.0|0|5.538740920096853|0|3304.0|0
0|2020-03-15|3121.0|0|183.0|0|5.538740920096853|0|3304.0|0
0|2020-03-16|3121.0|0|183.0|0|5.538740920096853|0|3304.0|0
0|2020-03-17|3121.0|0|183.0|0|5.538740920096853|0|3304.0|0
