|dates|Hennepin_Minnesota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hennepin_Minnesota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hennepin_Minnesota_UnitedStates.Male_Total_Population.data|Hennepin_Minnesota_UnitedStates.Male_Total_Population.missing|Hennepin_Minnesota_UnitedStates.Female_Total_Population.data|Hennepin_Minnesota_UnitedStates.Female_Total_Population.missing|Hennepin_Minnesota_UnitedStates.MaleAndFemale_Under18_Population.data|Hennepin_Minnesota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-02|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-03|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-04|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-05|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-06|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-07|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-08|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-09|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-10|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-11|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-12|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-13|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-14|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-15|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-16|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-17|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-18|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-19|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-20|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-21|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-22|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-23|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-24|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-25|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-26|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-27|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-28|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-29|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-30|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-01-31|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-02-01|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-02-02|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-02-03|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-02-04|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-02-05|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-02-06|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-02-07|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-02-08|176788.0|0|623200.0|0|636228.0|0|276541.0|0
0|2020-02-09|176788.0|0|623200.0|0|636228.0|0|276541.0|0
