|dates|Greenville_SouthCarolina_UnitedStates.BLS_EmployedPopulation.data|Greenville_SouthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Greenville_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Greenville_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Greenville_SouthCarolina_UnitedStates.BLS_UnemploymentRate.data|Greenville_SouthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Greenville_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Greenville_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-02|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-03|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-04|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-05|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-06|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-07|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-08|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-09|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-10|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-11|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-12|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-13|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-14|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-15|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-16|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-17|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-18|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-19|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-20|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-21|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-22|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-23|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-24|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-25|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-26|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-27|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-28|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-29|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-30|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-01-31|248571.5|0|6471.5|0|2.5374152593876325|0|255043.0|0
0|2020-02-01|249960.5|0|6649.5|0|2.591286387903823|0|256610.0|0
0|2020-02-02|249960.5|0|6649.5|0|2.591286387903823|0|256610.0|0
0|2020-02-03|249960.5|0|6649.5|0|2.591286387903823|0|256610.0|0
0|2020-02-04|249960.5|0|6649.5|0|2.591286387903823|0|256610.0|0
0|2020-02-05|249960.5|0|6649.5|0|2.591286387903823|0|256610.0|0
0|2020-02-06|249960.5|0|6649.5|0|2.591286387903823|0|256610.0|0
0|2020-02-07|249960.5|0|6649.5|0|2.591286387903823|0|256610.0|0
0|2020-02-08|249960.5|0|6649.5|0|2.591286387903823|0|256610.0|0
0|2020-02-09|249960.5|0|6649.5|0|2.591286387903823|0|256610.0|0
0|2020-02-10|249960.5|0|6649.5|0|2.591286387903823|0|256610.0|0
0|2020-02-11|249960.5|0|6649.5|0|2.591286387903823|0|256610.0|0
0|2020-02-12|249960.5|0|6649.5|0|2.591286387903823|0|256610.0|0
0|2020-02-13|249960.5|0|6649.5|0|2.591286387903823|0|256610.0|0
0|2020-02-14|249960.5|0|6649.5|0|2.591286387903823|0|256610.0|0
0|2020-02-15|249960.5|0|6649.5|0|2.591286387903823|0|256610.0|0
0|2020-02-16|249960.5|0|6649.5|0|2.591286387903823|0|256610.0|0
0|2020-02-17|249960.5|0|6649.5|0|2.591286387903823|0|256610.0|0
