|dates|Pennington_Minnesota_UnitedStates.BLS_EmployedPopulation.data|Pennington_Minnesota_UnitedStates.BLS_EmployedPopulation.missing|Pennington_Minnesota_UnitedStates.BLS_UnemployedPopulation.data|Pennington_Minnesota_UnitedStates.BLS_UnemployedPopulation.missing|Pennington_Minnesota_UnitedStates.BLS_UnemploymentRate.data|Pennington_Minnesota_UnitedStates.BLS_UnemploymentRate.missing|Pennington_Minnesota_UnitedStates.BLS_LaborForcePopulation.data|Pennington_Minnesota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-02|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-03|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-04|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-05|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-06|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-07|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-08|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-09|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-10|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-11|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-12|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-13|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-14|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-15|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-16|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-17|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-18|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-19|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-20|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-21|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-22|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-23|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-24|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-25|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-26|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-27|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-28|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-29|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-30|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-01-31|8174.0|0|716.0|0|8.053993250843645|0|8890.0|0
0|2020-02-01|8150.5|0|605.0|0|6.909942321969048|0|8755.5|0
0|2020-02-02|8150.5|0|605.0|0|6.909942321969048|0|8755.5|0
0|2020-02-03|8150.5|0|605.0|0|6.909942321969048|0|8755.5|0
0|2020-02-04|8150.5|0|605.0|0|6.909942321969048|0|8755.5|0
0|2020-02-05|8150.5|0|605.0|0|6.909942321969048|0|8755.5|0
0|2020-02-06|8150.5|0|605.0|0|6.909942321969048|0|8755.5|0
0|2020-02-07|8150.5|0|605.0|0|6.909942321969048|0|8755.5|0
0|2020-02-08|8150.5|0|605.0|0|6.909942321969048|0|8755.5|0
0|2020-02-09|8150.5|0|605.0|0|6.909942321969048|0|8755.5|0
0|2020-02-10|8150.5|0|605.0|0|6.909942321969048|0|8755.5|0
0|2020-02-11|8150.5|0|605.0|0|6.909942321969048|0|8755.5|0
0|2020-02-12|8150.5|0|605.0|0|6.909942321969048|0|8755.5|0
0|2020-02-13|8150.5|0|605.0|0|6.909942321969048|0|8755.5|0
0|2020-02-14|8150.5|0|605.0|0|6.909942321969048|0|8755.5|0
0|2020-02-15|8150.5|0|605.0|0|6.909942321969048|0|8755.5|0
0|2020-02-16|8150.5|0|605.0|0|6.909942321969048|0|8755.5|0
0|2020-02-17|8150.5|0|605.0|0|6.909942321969048|0|8755.5|0
0|2020-02-18|8150.5|0|605.0|0|6.909942321969048|0|8755.5|0
0|2020-02-19|8150.5|0|605.0|0|6.909942321969048|0|8755.5|0
0|2020-02-20|8150.5|0|605.0|0|6.909942321969048|0|8755.5|0
0|2020-02-21|8150.5|0|605.0|0|6.909942321969048|0|8755.5|0
0|2020-02-22|8150.5|0|605.0|0|6.909942321969048|0|8755.5|0
0|2020-02-23|8150.5|0|605.0|0|6.909942321969048|0|8755.5|0
0|2020-02-24|8150.5|0|605.0|0|6.909942321969048|0|8755.5|0
0|2020-02-25|8150.5|0|605.0|0|6.909942321969048|0|8755.5|0
