|dates|Sumter_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Sumter_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Sumter_Florida_UnitedStates.Male_Total_Population.data|Sumter_Florida_UnitedStates.Male_Total_Population.missing|Sumter_Florida_UnitedStates.Female_Total_Population.data|Sumter_Florida_UnitedStates.Female_Total_Population.missing|Sumter_Florida_UnitedStates.MaleAndFemale_Under18_Population.data|Sumter_Florida_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-02|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-03|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-04|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-05|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-06|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-07|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-08|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-09|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-10|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-11|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-12|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-13|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-14|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-15|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-16|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-17|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-18|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-19|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-20|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-21|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-22|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-23|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-24|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-25|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-26|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-27|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-28|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-29|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-30|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-01-31|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-02-01|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-02-02|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-02-03|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-02-04|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-02-05|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-02-06|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-02-07|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-02-08|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-02-09|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-02-10|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-02-11|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-02-12|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-02-13|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-02-14|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-02-15|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-02-16|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-02-17|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-02-18|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-02-19|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-02-20|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-02-21|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-02-22|74146.0|0|64194.0|0|64560.0|0|9102.0|0
0|2020-02-23|74146.0|0|64194.0|0|64560.0|0|9102.0|0
