|dates|Granville_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Granville_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Granville_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Granville_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Granville_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Granville_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Granville_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Granville_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-02|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-03|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-04|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-05|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-06|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-07|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-08|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-09|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-10|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-11|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-12|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-13|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-14|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-15|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-16|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-17|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-18|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-19|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-20|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-21|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-22|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-23|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-24|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-25|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-26|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-27|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-28|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-29|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-30|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-01-31|29388.5|0|1022.0|0|3.36068134361487|0|30410.5|0
0|2020-02-01|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-02|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-03|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-04|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-05|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-06|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-07|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-08|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-09|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-10|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-11|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-12|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-13|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-14|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-15|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-16|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-17|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-18|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-19|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-20|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-21|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-22|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-23|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-24|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-25|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-26|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-27|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-28|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
0|2020-02-29|29622.0|0|934.0|0|3.0566828118863727|0|30556.0|0
