|dates|Garza_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Garza_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Garza_Texas_UnitedStates.Male_Total_Population.data|Garza_Texas_UnitedStates.Male_Total_Population.missing|Garza_Texas_UnitedStates.Female_Total_Population.data|Garza_Texas_UnitedStates.Female_Total_Population.missing|Garza_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Garza_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-02|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-03|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-04|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-05|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-06|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-07|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-08|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-09|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-10|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-11|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-12|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-13|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-14|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-15|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-16|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-17|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-18|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-19|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-20|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-21|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-22|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-23|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-24|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-25|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-26|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-27|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-28|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-29|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-30|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-01-31|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-01|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-02|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-03|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-04|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-05|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-06|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-07|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-08|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-09|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-10|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-11|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-12|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-13|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-14|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-15|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-16|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-17|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-18|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-19|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-20|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-21|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-22|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-23|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-24|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-25|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-26|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-27|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-28|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-02-29|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-03-01|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-03-02|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-03-03|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-03-04|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-03-05|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-03-06|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-03-07|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-03-08|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-03-09|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-03-10|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-03-11|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-03-12|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-03-13|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-03-14|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-03-15|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-03-16|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-03-17|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-03-18|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2020-03-19|729.0|0|4355.0|0|2223.0|0|1115.0|0
