|dates|Sacramento_California_UnitedStates.BLS_EmployedPopulation.data|Sacramento_California_UnitedStates.BLS_EmployedPopulation.missing|Sacramento_California_UnitedStates.BLS_UnemployedPopulation.data|Sacramento_California_UnitedStates.BLS_UnemployedPopulation.missing|Sacramento_California_UnitedStates.BLS_UnemploymentRate.data|Sacramento_California_UnitedStates.BLS_UnemploymentRate.missing|Sacramento_California_UnitedStates.BLS_LaborForcePopulation.data|Sacramento_California_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|684619.0|0|27954.5|0|3.923033904572651|0|712573.5|0
0|2020-01-02|684619.0|0|27954.5|0|3.923033904572651|0|712573.5|0
0|2020-01-03|684619.0|0|27954.5|0|3.923033904572651|0|712573.5|0
0|2020-01-04|684619.0|0|27954.5|0|3.923033904572651|0|712573.5|0
0|2020-01-05|684619.0|0|27954.5|0|3.923033904572651|0|712573.5|0
0|2020-01-06|684619.0|0|27954.5|0|3.923033904572651|0|712573.5|0
0|2020-01-07|684619.0|0|27954.5|0|3.923033904572651|0|712573.5|0
0|2020-01-08|684619.0|0|27954.5|0|3.923033904572651|0|712573.5|0
0|2020-01-09|684619.0|0|27954.5|0|3.923033904572651|0|712573.5|0
0|2020-01-10|684619.0|0|27954.5|0|3.923033904572651|0|712573.5|0
0|2020-01-11|684619.0|0|27954.5|0|3.923033904572651|0|712573.5|0
0|2020-01-12|684619.0|0|27954.5|0|3.923033904572651|0|712573.5|0
0|2020-01-13|684619.0|0|27954.5|0|3.923033904572651|0|712573.5|0
0|2020-01-14|684619.0|0|27954.5|0|3.923033904572651|0|712573.5|0
0|2020-01-15|684619.0|0|27954.5|0|3.923033904572651|0|712573.5|0
0|2020-01-16|684619.0|0|27954.5|0|3.923033904572651|0|712573.5|0
0|2020-01-17|684619.0|0|27954.5|0|3.923033904572651|0|712573.5|0
0|2020-01-18|684619.0|0|27954.5|0|3.923033904572651|0|712573.5|0
0|2020-01-19|684619.0|0|27954.5|0|3.923033904572651|0|712573.5|0
0|2020-01-20|684619.0|0|27954.5|0|3.923033904572651|0|712573.5|0
0|2020-01-21|684619.0|0|27954.5|0|3.923033904572651|0|712573.5|0
0|2020-01-22|684619.0|0|27954.5|0|3.923033904572651|0|712573.5|0
0|2020-01-23|684619.0|0|27954.5|0|3.923033904572651|0|712573.5|0
0|2020-01-24|684619.0|0|27954.5|0|3.923033904572651|0|712573.5|0
0|2020-01-25|684619.0|0|27954.5|0|3.923033904572651|0|712573.5|0
0|2020-01-26|684619.0|0|27954.5|0|3.923033904572651|0|712573.5|0
