|dates|Hartley_Texas_UnitedStates.BLS_EmployedPopulation.data|Hartley_Texas_UnitedStates.BLS_EmployedPopulation.missing|Hartley_Texas_UnitedStates.BLS_UnemployedPopulation.data|Hartley_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Hartley_Texas_UnitedStates.BLS_UnemploymentRate.data|Hartley_Texas_UnitedStates.BLS_UnemploymentRate.missing|Hartley_Texas_UnitedStates.BLS_LaborForcePopulation.data|Hartley_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-02|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-03|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-04|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-05|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-06|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-07|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-08|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-09|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-10|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-11|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-12|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-13|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-14|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-15|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-16|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-17|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-18|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-19|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-20|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-21|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-22|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-23|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-24|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-25|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-26|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-27|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-28|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-29|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-30|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-01-31|2656.0|0|51.5|0|1.902123730378578|0|2707.5|0
0|2020-02-01|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-02|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-03|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-04|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-05|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-06|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-07|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-08|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-09|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-10|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-11|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-12|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-13|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-14|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-15|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-16|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-17|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-18|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-19|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-20|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-21|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-22|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-23|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-24|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-25|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-26|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-27|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-28|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-02-29|2677.0|0|47.5|0|1.7434391631492017|0|2724.5|0
0|2020-03-01|2636.0|0|65.0|0|2.4065161051462423|0|2701.0|0
0|2020-03-02|2636.0|0|65.0|0|2.4065161051462423|0|2701.0|0
0|2020-03-03|2636.0|0|65.0|0|2.4065161051462423|0|2701.0|0
0|2020-03-04|2636.0|0|65.0|0|2.4065161051462423|0|2701.0|0
0|2020-03-05|2636.0|0|65.0|0|2.4065161051462423|0|2701.0|0
0|2020-03-06|2636.0|0|65.0|0|2.4065161051462423|0|2701.0|0
0|2020-03-07|2636.0|0|65.0|0|2.4065161051462423|0|2701.0|0
0|2020-03-08|2636.0|0|65.0|0|2.4065161051462423|0|2701.0|0
0|2020-03-09|2636.0|0|65.0|0|2.4065161051462423|0|2701.0|0
0|2020-03-10|2636.0|0|65.0|0|2.4065161051462423|0|2701.0|0
0|2020-03-11|2636.0|0|65.0|0|2.4065161051462423|0|2701.0|0
0|2020-03-12|2636.0|0|65.0|0|2.4065161051462423|0|2701.0|0
0|2020-03-13|2636.0|0|65.0|0|2.4065161051462423|0|2701.0|0
0|2020-03-14|2636.0|0|65.0|0|2.4065161051462423|0|2701.0|0
0|2020-03-15|2636.0|0|65.0|0|2.4065161051462423|0|2701.0|0
0|2020-03-16|2636.0|0|65.0|0|2.4065161051462423|0|2701.0|0
