|dates|Clinton_Missouri_UnitedStates.BLS_EmployedPopulation.data|Clinton_Missouri_UnitedStates.BLS_EmployedPopulation.missing|Clinton_Missouri_UnitedStates.BLS_UnemployedPopulation.data|Clinton_Missouri_UnitedStates.BLS_UnemployedPopulation.missing|Clinton_Missouri_UnitedStates.BLS_UnemploymentRate.data|Clinton_Missouri_UnitedStates.BLS_UnemploymentRate.missing|Clinton_Missouri_UnitedStates.BLS_LaborForcePopulation.data|Clinton_Missouri_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-02|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-03|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-04|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-05|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-06|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-07|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-08|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-09|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-10|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-11|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-12|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-13|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-14|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-15|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-16|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-17|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-18|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-19|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-20|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-21|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-22|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-23|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-24|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-25|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-26|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-27|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-28|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-29|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-30|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-01-31|10321.5|0|401.5|0|3.7442879791103234|0|10723.0|0
0|2020-02-01|10381.5|0|367.5|0|3.4189226904828356|0|10749.0|0
0|2020-02-02|10381.5|0|367.5|0|3.4189226904828356|0|10749.0|0
0|2020-02-03|10381.5|0|367.5|0|3.4189226904828356|0|10749.0|0
0|2020-02-04|10381.5|0|367.5|0|3.4189226904828356|0|10749.0|0
0|2020-02-05|10381.5|0|367.5|0|3.4189226904828356|0|10749.0|0
0|2020-02-06|10381.5|0|367.5|0|3.4189226904828356|0|10749.0|0
0|2020-02-07|10381.5|0|367.5|0|3.4189226904828356|0|10749.0|0
0|2020-02-08|10381.5|0|367.5|0|3.4189226904828356|0|10749.0|0
0|2020-02-09|10381.5|0|367.5|0|3.4189226904828356|0|10749.0|0
0|2020-02-10|10381.5|0|367.5|0|3.4189226904828356|0|10749.0|0
0|2020-02-11|10381.5|0|367.5|0|3.4189226904828356|0|10749.0|0
0|2020-02-12|10381.5|0|367.5|0|3.4189226904828356|0|10749.0|0
0|2020-02-13|10381.5|0|367.5|0|3.4189226904828356|0|10749.0|0
0|2020-02-14|10381.5|0|367.5|0|3.4189226904828356|0|10749.0|0
0|2020-02-15|10381.5|0|367.5|0|3.4189226904828356|0|10749.0|0
0|2020-02-16|10381.5|0|367.5|0|3.4189226904828356|0|10749.0|0
0|2020-02-17|10381.5|0|367.5|0|3.4189226904828356|0|10749.0|0
0|2020-02-18|10381.5|0|367.5|0|3.4189226904828356|0|10749.0|0
