|dates|Wayne_Utah_UnitedStates.AveragePrecipitationTotal.data|Wayne_Utah_UnitedStates.AveragePrecipitationTotal.missing|Wayne_Utah_UnitedStates.AveragePrecipitation.data|Wayne_Utah_UnitedStates.AveragePrecipitation.missing|Wayne_Utah_UnitedStates.AverageWindDirection.data|Wayne_Utah_UnitedStates.AverageWindDirection.missing|Wayne_Utah_UnitedStates.AverageWindSpeed.data|Wayne_Utah_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|85.52083333333333|0|2.2552083333333335|0
0|2020-01-02|0.0|0|0.0|0|50.9375|0|2.0625|0
0|2020-01-03|0.0|0|0.0|0|61.5625|0|2.3229166666666665|0
0|2020-01-04|0.0|0|0.0|0|107.55208333333333|0|1.8177083333333333|0
0|2020-01-05|0.0|0|0.0|0|60.416666666666664|0|1.28125|0
0|2020-01-06|0.0|0|0.0|0|67.60416666666667|0|3.6458333333333335|0
0|2020-01-07|0.0|0|0.0|0|174.16666666666666|0|3.5625|0
0|2020-01-08|0.0|0|0.0|0|95.52083333333333|0|1.5|0
0|2020-01-09|0.0|0|0.0|0|30.3125|0|0.71875|0
0|2020-01-10|0.0|0|0.0|0|36.770833333333336|0|1.0208333333333333|0
0|2020-01-11|0.0|0|0.0|0|24.479166666666668|0|0.875|0
0|2020-01-12|0.0|0|0.0|0|27.604166666666668|0|0.4375|0
0|2020-01-13|0.0|0|0.0|0|36.666666666666664|0|0.5729166666666666|0
0|2020-01-14|0.0|0|0.0|0|83.75|0|2.2760416666666665|0
0|2020-01-15|0.0|0|0.0|0|72.5|0|1.5729166666666667|0
0|2020-01-16|0.0|0|0.0|0|18.020833333333332|0|0.3333333333333333|0
0|2020-01-17|0.0|0|0.0|0|159.16666666666666|0|7.489583333333333|0
0|2020-01-18|0.0|0|0.0|0|19.0625|0|1.0104166666666667|0
0|2020-01-19|0.0|0|0.0|0|13.229166666666666|0|0.3958333333333333|0
0|2020-01-20|0.0|0|0.0|0|30.520833333333332|0|0.6666666666666666|0
0|2020-01-21|0.0|0|0.0|0|24.583333333333332|0|0.4270833333333333|0
0|2020-01-22|0.0|0|0.0|0|35.104166666666664|0|0.4895833333333333|0
0|2020-01-23|0.0|0|0.0|0|85.9375|0|3.3541666666666665|0
0|2020-01-24|0.0|0|0.0|0|61.927083333333336|0|1.203125|0
0|2020-01-25|0.0|0|0.0|0|123.125|0|3.5|0
0|2020-01-26|0.0|0|0.0|0|136.35416666666666|0|3.7083333333333335|0
0|2020-01-27|0.0|0|0.0|0|158.17708333333334|0|5.875|0
0|2020-01-28|0.0|0|0.0|0|56.770833333333336|0|3.4583333333333335|0
0|2020-01-29|0.0|0|0.0|0|117.1875|0|2.5104166666666665|0
0|2020-01-30|0.0|0|0.0|0|49.375|0|2.0729166666666665|0
0|2020-01-31|0.0|0|0.0|0|42.604166666666664|0|1.9895833333333333|0
0|2020-02-01|0.0|0|0.0|0|73.22916666666667|0|2.3645833333333335|0
0|2020-02-02|0.0|0|0.0|0|48.645833333333336|0|5.4375|0
0|2020-02-03|0.0|0|0.0|0|268.3854166666667|0|12.755208333333334|0
0|2020-02-04|0.0|0|0.0|0|128.54166666666666|0|7.479166666666667|0
0|2020-02-05|0.0|0|0.0|0|30.729166666666668|0|2.7291666666666665|0
