|dates|Quay_NewMexico_UnitedStates.BLS_EmployedPopulation.data|Quay_NewMexico_UnitedStates.BLS_EmployedPopulation.missing|Quay_NewMexico_UnitedStates.BLS_UnemployedPopulation.data|Quay_NewMexico_UnitedStates.BLS_UnemployedPopulation.missing|Quay_NewMexico_UnitedStates.BLS_UnemploymentRate.data|Quay_NewMexico_UnitedStates.BLS_UnemploymentRate.missing|Quay_NewMexico_UnitedStates.BLS_LaborForcePopulation.data|Quay_NewMexico_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-02|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-03|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-04|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-05|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-06|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-07|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-08|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-09|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-10|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-11|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-12|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-13|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-14|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-15|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-16|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-17|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-18|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-19|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-20|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-21|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-22|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-23|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-24|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-25|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-26|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-27|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-28|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-29|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-30|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-01-31|2964.5|0|165.5|0|5.287539936102236|0|3130.0|0
0|2020-02-01|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-02|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-03|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-04|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-05|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-06|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-07|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-08|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-09|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-10|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-11|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-12|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-13|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-14|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-15|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-16|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-17|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-18|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-19|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-20|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-21|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-22|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-23|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-24|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-25|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-26|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-27|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-28|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-02-29|2982.0|0|167.0|0|5.303270879644332|0|3149.0|0
0|2020-03-01|2936.5|0|186.0|0|5.9567654123298635|0|3122.5|0
0|2020-03-02|2936.5|0|186.0|0|5.9567654123298635|0|3122.5|0
0|2020-03-03|2936.5|0|186.0|0|5.9567654123298635|0|3122.5|0
0|2020-03-04|2936.5|0|186.0|0|5.9567654123298635|0|3122.5|0
