|dates|Putnam_Florida_UnitedStates.AveragePrecipitationTotal.data|Putnam_Florida_UnitedStates.AveragePrecipitationTotal.missing|Putnam_Florida_UnitedStates.AveragePrecipitation.data|Putnam_Florida_UnitedStates.AveragePrecipitation.missing|Putnam_Florida_UnitedStates.AverageWindDirection.data|Putnam_Florida_UnitedStates.AverageWindDirection.missing|Putnam_Florida_UnitedStates.AverageWindSpeed.data|Putnam_Florida_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|126.45833333333333|0|1.9791666666666667|0
0|2020-01-02|0.0|0|0.0|0|98.48958333333333|0|4.135416666666667|0
0|2020-01-03|0.0|0|0.0|0|195.3125|0|7.625|0
0|2020-01-04|0.0|0|0.009270833333333334|0|248.22916666666666|0|9.916666666666666|0
0|2020-01-05|0.0|0|0.0|0|242.8125|0|5.15625|0
0|2020-01-06|0.0|0|0.0|0|92.60416666666667|0|1.84375|0
0|2020-01-07|0.0|0|0.0|0|167.39583333333334|0|4.052083333333333|0
0|2020-01-08|0.0|0|0.0|0|103.95833333333333|0|3.4375|0
0|2020-01-09|0.0|0|0.0|0|71.35416666666667|0|4.864583333333333|0
0|2020-01-10|0.0|0|0.0|0|99.79166666666667|0|6.333333333333333|0
0|2020-01-11|0.0|0|0.0|0|146.71875|0|8.411458333333334|0
0|2020-01-12|0.0|0|0.0|0|161.97916666666666|0|6.59375|0
0|2020-01-13|0.0|0|0.0|0|104.16666666666667|0|4.770833333333333|0
0|2020-01-14|0.0|0|0.0009375|0|84.58333333333333|0|2.0|0
0|2020-01-15|0.0|0|0.0003125|0|99.375|0|1.9791666666666667|0
0|2020-01-16|0.0|0|0.0|0|111.14583333333333|0|3.3125|0
0|2020-01-17|0.0|0|0.0|0|61.197916666666664|0|11.614583333333334|0
0|2020-01-18|0.0|0|0.0|0|105.9375|0|5.583333333333333|0
0|2020-01-19|0.0|0|0.0|0|260.1041666666667|0|8.697916666666666|0
0|2020-01-20|0.0|0|0.0|0|241.45833333333334|0|8.177083333333334|0
0|2020-01-21|0.0|0|0.0|0|311.0416666666667|0|9.53125|0
0|2020-01-22|0.0|0|0.0|0|211.04166666666666|0|10.291666666666666|0
0|2020-01-23|0.0|0|0.0|0|150.41666666666666|0|6.072916666666667|0
0|2020-01-24|0.0|0|0.0|0|120.20833333333333|0|3.8854166666666665|0
0|2020-01-25|0.0|0|0.0|0|249.16666666666666|0|5.96875|0
0|2020-01-26|0.0|0|0.0|0|121.97916666666667|0|1.9583333333333333|0
0|2020-01-27|0.0|0|0.0|0|106.09375|0|1.5677083333333333|0
0|2020-01-28|0.0|0|0.0|0|149.58333333333334|0|4.770833333333333|0
0|2020-01-29|0.0|0|0.0|0|77.91666666666667|0|3.6458333333333335|0
0|2020-01-30|0.0|0|0.0|0|80.41666666666667|0|9.177083333333334|0
0|2020-01-31|0.0|0|0.0|0|80.0|0|4.583333333333333|0
0|2020-02-01|0.0|0|0.0|0|204.79166666666666|0|6.177083333333333|0
0|2020-02-02|0.0|0|0.0|0|254.16666666666666|0|6.4375|0
0|2020-02-03|0.0|0|0.0|0|123.33333333333333|0|2.71875|0
0|2020-02-04|0.0|0|0.0|0|81.66666666666667|0|1.6041666666666667|0
0|2020-02-05|0.0|0|0.0|0|145.26041666666666|0|5.067708333333333|0
0|2020-02-06|0.0|0|0.008333333333333333|0|196.97916666666666|0|10.6875|0
0|2020-02-07|0.0|0|0.0014583333333333334|0|217.70833333333334|0|8.109375|0
0|2020-02-08|0.0|0|0.0|0|85.625|0|3.3958333333333335|0
0|2020-02-09|0.0|0|0.0|0|37.291666666666664|0|4.854166666666667|0
