|dates|McIntosh_NorthDakota_UnitedStates.BLS_EmployedPopulation.data|McIntosh_NorthDakota_UnitedStates.BLS_EmployedPopulation.missing|McIntosh_NorthDakota_UnitedStates.BLS_UnemployedPopulation.data|McIntosh_NorthDakota_UnitedStates.BLS_UnemployedPopulation.missing|McIntosh_NorthDakota_UnitedStates.BLS_UnemploymentRate.data|McIntosh_NorthDakota_UnitedStates.BLS_UnemploymentRate.missing|McIntosh_NorthDakota_UnitedStates.BLS_LaborForcePopulation.data|McIntosh_NorthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-02|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-03|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-04|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-05|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-06|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-07|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-08|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-09|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-10|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-11|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-12|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-13|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-14|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-15|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-16|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-17|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-18|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-19|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-20|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-21|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-22|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-23|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-24|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-25|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-26|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-27|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-28|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-29|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-30|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-01-31|1029.5|0|36.0|0|3.37869544814641|0|1065.5|0
0|2020-02-01|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-02|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-03|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-04|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-05|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-06|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-07|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-08|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-09|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-10|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-11|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-12|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-13|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-14|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-15|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-16|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-17|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-18|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-19|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-20|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-21|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-22|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-23|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-24|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-25|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-26|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-27|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-28|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-02-29|1044.5|0|36.0|0|3.3317908375751966|0|1080.5|0
0|2020-03-01|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-02|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-03|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-04|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-05|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-06|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-07|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-08|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-09|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-10|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-11|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-12|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-13|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-14|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-15|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-16|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-17|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-18|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-19|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-20|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-21|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-22|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-23|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-24|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-25|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-26|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-27|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-28|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-29|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-30|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-03-31|1065.5|0|38.0|0|3.443588581785229|0|1103.5|0
0|2020-04-01|1042.0|0|37.0|0|3.429101019462465|0|1079.0|0
0|2020-04-02|1042.0|0|37.0|0|3.429101019462465|0|1079.0|0
0|2020-04-03|1042.0|0|37.0|0|3.429101019462465|0|1079.0|0
0|2020-04-04|1042.0|0|37.0|0|3.429101019462465|0|1079.0|0
0|2020-04-05|1042.0|0|37.0|0|3.429101019462465|0|1079.0|0
0|2020-04-06|1042.0|0|37.0|0|3.429101019462465|0|1079.0|0
0|2020-04-07|1042.0|0|37.0|0|3.429101019462465|0|1079.0|0
0|2020-04-08|1042.0|0|37.0|0|3.429101019462465|0|1079.0|0
0|2020-04-09|1042.0|0|37.0|0|3.429101019462465|0|1079.0|0
0|2020-04-10|1042.0|0|37.0|0|3.429101019462465|0|1079.0|0
0|2020-04-11|1042.0|0|37.0|0|3.429101019462465|0|1079.0|0
0|2020-04-12|1042.0|0|37.0|0|3.429101019462465|0|1079.0|0
0|2020-04-13|1042.0|0|37.0|0|3.429101019462465|0|1079.0|0
0|2020-04-14|1042.0|0|37.0|0|3.429101019462465|0|1079.0|0
0|2020-04-15|1042.0|0|37.0|0|3.429101019462465|0|1079.0|0
