|dates|Jones_Texas_UnitedStates.BLS_EmployedPopulation.data|Jones_Texas_UnitedStates.BLS_EmployedPopulation.missing|Jones_Texas_UnitedStates.BLS_UnemployedPopulation.data|Jones_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Jones_Texas_UnitedStates.BLS_UnemploymentRate.data|Jones_Texas_UnitedStates.BLS_UnemploymentRate.missing|Jones_Texas_UnitedStates.BLS_LaborForcePopulation.data|Jones_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-02|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-03|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-04|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-05|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-06|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-07|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-08|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-09|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-10|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-11|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-12|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-13|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-14|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-15|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-16|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-17|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-18|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-19|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-20|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-21|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-22|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-23|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-24|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-25|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-26|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-27|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-28|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-29|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-30|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-01-31|5549.5|0|246.0|0|4.2446725908032095|0|5795.5|0
0|2020-02-01|5608.0|0|228.5|0|3.915017561894971|0|5836.5|0
0|2020-02-02|5608.0|0|228.5|0|3.915017561894971|0|5836.5|0
0|2020-02-03|5608.0|0|228.5|0|3.915017561894971|0|5836.5|0
0|2020-02-04|5608.0|0|228.5|0|3.915017561894971|0|5836.5|0
0|2020-02-05|5608.0|0|228.5|0|3.915017561894971|0|5836.5|0
0|2020-02-06|5608.0|0|228.5|0|3.915017561894971|0|5836.5|0
0|2020-02-07|5608.0|0|228.5|0|3.915017561894971|0|5836.5|0
0|2020-02-08|5608.0|0|228.5|0|3.915017561894971|0|5836.5|0
0|2020-02-09|5608.0|0|228.5|0|3.915017561894971|0|5836.5|0
0|2020-02-10|5608.0|0|228.5|0|3.915017561894971|0|5836.5|0
0|2020-02-11|5608.0|0|228.5|0|3.915017561894971|0|5836.5|0
0|2020-02-12|5608.0|0|228.5|0|3.915017561894971|0|5836.5|0
0|2020-02-13|5608.0|0|228.5|0|3.915017561894971|0|5836.5|0
0|2020-02-14|5608.0|0|228.5|0|3.915017561894971|0|5836.5|0
0|2020-02-15|5608.0|0|228.5|0|3.915017561894971|0|5836.5|0
0|2020-02-16|5608.0|0|228.5|0|3.915017561894971|0|5836.5|0
0|2020-02-17|5608.0|0|228.5|0|3.915017561894971|0|5836.5|0
0|2020-02-18|5608.0|0|228.5|0|3.915017561894971|0|5836.5|0
0|2020-02-19|5608.0|0|228.5|0|3.915017561894971|0|5836.5|0
0|2020-02-20|5608.0|0|228.5|0|3.915017561894971|0|5836.5|0
0|2020-02-21|5608.0|0|228.5|0|3.915017561894971|0|5836.5|0
0|2020-02-22|5608.0|0|228.5|0|3.915017561894971|0|5836.5|0
0|2020-02-23|5608.0|0|228.5|0|3.915017561894971|0|5836.5|0
