|dates|Buffalo_Nebraska_UnitedStates.BLS_EmployedPopulation.data|Buffalo_Nebraska_UnitedStates.BLS_EmployedPopulation.missing|Buffalo_Nebraska_UnitedStates.BLS_UnemployedPopulation.data|Buffalo_Nebraska_UnitedStates.BLS_UnemployedPopulation.missing|Buffalo_Nebraska_UnitedStates.BLS_UnemploymentRate.data|Buffalo_Nebraska_UnitedStates.BLS_UnemploymentRate.missing|Buffalo_Nebraska_UnitedStates.BLS_LaborForcePopulation.data|Buffalo_Nebraska_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|27104.5|0|728.0|0|2.6156471750651216|0|27832.5|0
0|2020-01-02|27104.5|0|728.0|0|2.6156471750651216|0|27832.5|0
0|2020-01-03|27104.5|0|728.0|0|2.6156471750651216|0|27832.5|0
0|2020-01-04|27104.5|0|728.0|0|2.6156471750651216|0|27832.5|0
0|2020-01-05|27104.5|0|728.0|0|2.6156471750651216|0|27832.5|0
0|2020-01-06|27104.5|0|728.0|0|2.6156471750651216|0|27832.5|0
0|2020-01-07|27104.5|0|728.0|0|2.6156471750651216|0|27832.5|0
0|2020-01-08|27104.5|0|728.0|0|2.6156471750651216|0|27832.5|0
0|2020-01-09|27104.5|0|728.0|0|2.6156471750651216|0|27832.5|0
0|2020-01-10|27104.5|0|728.0|0|2.6156471750651216|0|27832.5|0
0|2020-01-11|27104.5|0|728.0|0|2.6156471750651216|0|27832.5|0
0|2020-01-12|27104.5|0|728.0|0|2.6156471750651216|0|27832.5|0
0|2020-01-13|27104.5|0|728.0|0|2.6156471750651216|0|27832.5|0
0|2020-01-14|27104.5|0|728.0|0|2.6156471750651216|0|27832.5|0
0|2020-01-15|27104.5|0|728.0|0|2.6156471750651216|0|27832.5|0
0|2020-01-16|27104.5|0|728.0|0|2.6156471750651216|0|27832.5|0
0|2020-01-17|27104.5|0|728.0|0|2.6156471750651216|0|27832.5|0
0|2020-01-18|27104.5|0|728.0|0|2.6156471750651216|0|27832.5|0
0|2020-01-19|27104.5|0|728.0|0|2.6156471750651216|0|27832.5|0
0|2020-01-20|27104.5|0|728.0|0|2.6156471750651216|0|27832.5|0
0|2020-01-21|27104.5|0|728.0|0|2.6156471750651216|0|27832.5|0
0|2020-01-22|27104.5|0|728.0|0|2.6156471750651216|0|27832.5|0
0|2020-01-23|27104.5|0|728.0|0|2.6156471750651216|0|27832.5|0
0|2020-01-24|27104.5|0|728.0|0|2.6156471750651216|0|27832.5|0
0|2020-01-25|27104.5|0|728.0|0|2.6156471750651216|0|27832.5|0
