|dates|McCormick_SouthCarolina_UnitedStates.BLS_EmployedPopulation.data|McCormick_SouthCarolina_UnitedStates.BLS_EmployedPopulation.missing|McCormick_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.data|McCormick_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|McCormick_SouthCarolina_UnitedStates.BLS_UnemploymentRate.data|McCormick_SouthCarolina_UnitedStates.BLS_UnemploymentRate.missing|McCormick_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.data|McCormick_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3233.0|0|136.5|0|4.0510461492803085|0|3369.5|0
0|2020-01-02|3233.0|0|136.5|0|4.0510461492803085|0|3369.5|0
0|2020-01-03|3233.0|0|136.5|0|4.0510461492803085|0|3369.5|0
0|2020-01-04|3233.0|0|136.5|0|4.0510461492803085|0|3369.5|0
0|2020-01-05|3233.0|0|136.5|0|4.0510461492803085|0|3369.5|0
0|2020-01-06|3233.0|0|136.5|0|4.0510461492803085|0|3369.5|0
0|2020-01-07|3233.0|0|136.5|0|4.0510461492803085|0|3369.5|0
0|2020-01-08|3233.0|0|136.5|0|4.0510461492803085|0|3369.5|0
0|2020-01-09|3233.0|0|136.5|0|4.0510461492803085|0|3369.5|0
0|2020-01-10|3233.0|0|136.5|0|4.0510461492803085|0|3369.5|0
0|2020-01-11|3233.0|0|136.5|0|4.0510461492803085|0|3369.5|0
0|2020-01-12|3233.0|0|136.5|0|4.0510461492803085|0|3369.5|0
0|2020-01-13|3233.0|0|136.5|0|4.0510461492803085|0|3369.5|0
0|2020-01-14|3233.0|0|136.5|0|4.0510461492803085|0|3369.5|0
0|2020-01-15|3233.0|0|136.5|0|4.0510461492803085|0|3369.5|0
0|2020-01-16|3233.0|0|136.5|0|4.0510461492803085|0|3369.5|0
0|2020-01-17|3233.0|0|136.5|0|4.0510461492803085|0|3369.5|0
0|2020-01-18|3233.0|0|136.5|0|4.0510461492803085|0|3369.5|0
