|dates|Thurston_Washington_UnitedStates.AveragePrecipitationTotal.data|Thurston_Washington_UnitedStates.AveragePrecipitationTotal.missing|Thurston_Washington_UnitedStates.AveragePrecipitation.data|Thurston_Washington_UnitedStates.AveragePrecipitation.missing|Thurston_Washington_UnitedStates.AverageWindDirection.data|Thurston_Washington_UnitedStates.AverageWindDirection.missing|Thurston_Washington_UnitedStates.AverageWindSpeed.data|Thurston_Washington_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.06583333333333334|0|0.001875|0|229.0625|0|10.625|0
0|2020-01-02|0.00125|0|0.012499999999999999|0|174.47916666666666|0|8.531249999999998|0
0|2020-01-03|0.01875|0|0.014374999999999999|0|203.68055555555557|0|11.819444444444443|0
0|2020-01-04|0.006388888888888889|0|0.014374999999999999|0|203.05555555555557|0|10.131944444444445|0
0|2020-01-05|0.013333333333333334|0|0.011458333333333334|0|200.8333333333333|0|10.9375|0
0|2020-01-06|0.012708333333333334|0|0.10881249999999999|0|194.98611111111111|0|13.731944444444444|0
0|2020-01-07|0.06208333333333333|0|0.028229166666666666|0|197.77777777777774|0|13.204861111111109|0
0|2020-01-08|0.022083333333333333|0|0.001388888888888889|0|166.70138888888889|0|6.53125|0
0|2020-01-09|0.00026041666666666666|0|0.0010972222222222223|0|141.86458333333334|0|3.2624999999999997|0
0|2020-01-10|0.002916666666666667|0|0.03612500000000001|0|190.04166666666666|0|13.609722222222222|0
0|2020-01-11|0.025833333333333333|0|0.014583333333333335|0|222.25694444444443|0|13.684027777777777|0
0|2020-01-12|0.01375|0|0.017291666666666667|0|205.52083333333334|0|10.986111111111109|0
0|2020-01-13|0.018333333333333333|0|0.0010416666666666667|0|148.81944444444446|0|5.090277777777778|0
0|2020-01-14|0.0007499999999999999|0|0.0020173611111111113|0|158.39930555555554|0|7.018055555555556|0
0|2020-01-15|0.0004166666666666667|0|0.0018750000000000001|0|166.875|0|8.5625|0
0|2020-01-16|0.0033333333333333335|0|0.0008333333333333334|0|177.93055555555557|0|6.2124999999999995|0
0|2020-01-17|0.0|0|0.002361111111111111|0|72.88888888888889|0|1.5805555555555555|0
0|2020-01-18|0.0031249999999999997|0|0.005625000000000001|0|185.41666666666666|0|8.6875|0
0|2020-01-19|0.0025|0|0.0025|0|31.805555555555554|0|1.5243055555555554|0
0|2020-01-20|0.002916666666666667|0|0.0004166666666666667|0|71.69444444444444|0|1.7951388888888886|0
0|2020-01-21|0.00375|0|0.022361111111111113|0|170.7638888888889|0|13.027777777777777|0
0|2020-01-22|0.021666666666666667|0|0.037083333333333336|0|181.18055555555554|0|8.54861111111111|0
0|2020-01-23|0.03958333333333333|0|0.049513888888888906|0|192.01388888888889|0|13.527777777777779|0
0|2020-01-24|0.02729166666666667|0|0.02201388888888889|0|171.35416666666663|0|8.26388888888889|0
0|2020-01-25|0.03375|0|0.02038888888888889|0|120.41666666666667|0|3.9513888888888893|0
0|2020-01-26|0.008333333333333333|0|0.013402777777777777|0|205.95833333333334|0|8.529166666666667|0
0|2020-01-27|0.008749999999999999|0|0.04508333333333333|0|158.58333333333334|0|4.570833333333333|0
0|2020-01-28|0.050416666666666665|0|0.01054166666666667|0|186.34722222222226|0|5.42638888888889|0
