|dates|SantaBarbara_California_UnitedStates.MaleAndFemale_AtLeast65_Population.data|SantaBarbara_California_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|SantaBarbara_California_UnitedStates.Male_Total_Population.data|SantaBarbara_California_UnitedStates.Male_Total_Population.missing|SantaBarbara_California_UnitedStates.Female_Total_Population.data|SantaBarbara_California_UnitedStates.Female_Total_Population.missing|SantaBarbara_California_UnitedStates.MaleAndFemale_Under18_Population.data|SantaBarbara_California_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-02|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-03|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-04|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-05|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-06|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-07|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-08|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-09|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-10|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-11|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-12|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-13|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-14|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-15|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-16|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-17|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-18|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-19|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-20|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-21|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-22|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-23|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-24|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-25|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-26|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-27|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-28|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-29|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-30|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-01-31|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-02-01|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-02-02|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-02-03|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-02-04|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-02-05|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2020-02-06|68465.0|0|223377.0|0|223150.0|0|98787.0|0
