|dates|Wake_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Wake_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Wake_NorthCarolina_UnitedStates.Male_Total_Population.data|Wake_NorthCarolina_UnitedStates.Male_Total_Population.missing|Wake_NorthCarolina_UnitedStates.Female_Total_Population.data|Wake_NorthCarolina_UnitedStates.Female_Total_Population.missing|Wake_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Wake_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2020-01-02|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2020-01-03|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2020-01-04|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2020-01-05|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2020-01-06|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2020-01-07|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2020-01-08|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2020-01-09|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2020-01-10|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2020-01-11|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2020-01-12|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2020-01-13|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2020-01-14|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2020-01-15|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2020-01-16|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2020-01-17|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2020-01-18|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2020-01-19|126886.0|0|531546.0|0|560759.0|0|261531.0|0
