|dates|Clay_Minnesota_UnitedStates.BLS_EmployedPopulation.data|Clay_Minnesota_UnitedStates.BLS_EmployedPopulation.missing|Clay_Minnesota_UnitedStates.BLS_UnemployedPopulation.data|Clay_Minnesota_UnitedStates.BLS_UnemployedPopulation.missing|Clay_Minnesota_UnitedStates.BLS_UnemploymentRate.data|Clay_Minnesota_UnitedStates.BLS_UnemploymentRate.missing|Clay_Minnesota_UnitedStates.BLS_LaborForcePopulation.data|Clay_Minnesota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|34876.5|0|1346.5|0|3.7172514700604586|0|36223.0|0
0|2020-01-02|34876.5|0|1346.5|0|3.7172514700604586|0|36223.0|0
0|2020-01-03|34876.5|0|1346.5|0|3.7172514700604586|0|36223.0|0
0|2020-01-04|34876.5|0|1346.5|0|3.7172514700604586|0|36223.0|0
0|2020-01-05|34876.5|0|1346.5|0|3.7172514700604586|0|36223.0|0
0|2020-01-06|34876.5|0|1346.5|0|3.7172514700604586|0|36223.0|0
0|2020-01-07|34876.5|0|1346.5|0|3.7172514700604586|0|36223.0|0
0|2020-01-08|34876.5|0|1346.5|0|3.7172514700604586|0|36223.0|0
0|2020-01-09|34876.5|0|1346.5|0|3.7172514700604586|0|36223.0|0
0|2020-01-10|34876.5|0|1346.5|0|3.7172514700604586|0|36223.0|0
0|2020-01-11|34876.5|0|1346.5|0|3.7172514700604586|0|36223.0|0
0|2020-01-12|34876.5|0|1346.5|0|3.7172514700604586|0|36223.0|0
0|2020-01-13|34876.5|0|1346.5|0|3.7172514700604586|0|36223.0|0
0|2020-01-14|34876.5|0|1346.5|0|3.7172514700604586|0|36223.0|0
0|2020-01-15|34876.5|0|1346.5|0|3.7172514700604586|0|36223.0|0
0|2020-01-16|34876.5|0|1346.5|0|3.7172514700604586|0|36223.0|0
0|2020-01-17|34876.5|0|1346.5|0|3.7172514700604586|0|36223.0|0
0|2020-01-18|34876.5|0|1346.5|0|3.7172514700604586|0|36223.0|0
