|dates|Hamilton_Kansas_UnitedStates.BLS_EmployedPopulation.data|Hamilton_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Hamilton_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Hamilton_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Hamilton_Kansas_UnitedStates.BLS_UnemploymentRate.data|Hamilton_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Hamilton_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Hamilton_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1550.0|0|29.0|0|1.8366054464851171|0|1579.0|0
0|2020-01-02|1550.0|0|29.0|0|1.8366054464851171|0|1579.0|0
0|2020-01-03|1550.0|0|29.0|0|1.8366054464851171|0|1579.0|0
0|2020-01-04|1550.0|0|29.0|0|1.8366054464851171|0|1579.0|0
0|2020-01-05|1550.0|0|29.0|0|1.8366054464851171|0|1579.0|0
0|2020-01-06|1550.0|0|29.0|0|1.8366054464851171|0|1579.0|0
0|2020-01-07|1550.0|0|29.0|0|1.8366054464851171|0|1579.0|0
0|2020-01-08|1550.0|0|29.0|0|1.8366054464851171|0|1579.0|0
0|2020-01-09|1550.0|0|29.0|0|1.8366054464851171|0|1579.0|0
0|2020-01-10|1550.0|0|29.0|0|1.8366054464851171|0|1579.0|0
0|2020-01-11|1550.0|0|29.0|0|1.8366054464851171|0|1579.0|0
0|2020-01-12|1550.0|0|29.0|0|1.8366054464851171|0|1579.0|0
0|2020-01-13|1550.0|0|29.0|0|1.8366054464851171|0|1579.0|0
0|2020-01-14|1550.0|0|29.0|0|1.8366054464851171|0|1579.0|0
0|2020-01-15|1550.0|0|29.0|0|1.8366054464851171|0|1579.0|0
0|2020-01-16|1550.0|0|29.0|0|1.8366054464851171|0|1579.0|0
0|2020-01-17|1550.0|0|29.0|0|1.8366054464851171|0|1579.0|0
0|2020-01-18|1550.0|0|29.0|0|1.8366054464851171|0|1579.0|0
0|2020-01-19|1550.0|0|29.0|0|1.8366054464851171|0|1579.0|0
0|2020-01-20|1550.0|0|29.0|0|1.8366054464851171|0|1579.0|0
0|2020-01-21|1550.0|0|29.0|0|1.8366054464851171|0|1579.0|0
0|2020-01-22|1550.0|0|29.0|0|1.8366054464851171|0|1579.0|0
0|2020-01-23|1550.0|0|29.0|0|1.8366054464851171|0|1579.0|0
0|2020-01-24|1550.0|0|29.0|0|1.8366054464851171|0|1579.0|0
