|dates|Hand_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hand_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hand_SouthDakota_UnitedStates.Male_Total_Population.data|Hand_SouthDakota_UnitedStates.Male_Total_Population.missing|Hand_SouthDakota_UnitedStates.Female_Total_Population.data|Hand_SouthDakota_UnitedStates.Female_Total_Population.missing|Hand_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Hand_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-03-13|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-03-14|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-03-15|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-03-16|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-03-17|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-03-18|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-03-19|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-03-20|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-03-21|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-03-22|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-03-23|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-03-24|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-03-25|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-03-26|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-03-27|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-03-28|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-03-29|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-03-30|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-03-31|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-01|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-02|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-03|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-04|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-05|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-06|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-07|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-08|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-09|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-10|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-11|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-12|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-13|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-14|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-15|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-16|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-17|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-18|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-19|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-20|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-21|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-22|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-23|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-24|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-25|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-26|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-27|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-28|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-29|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-04-30|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-01|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-02|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-03|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-04|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-05|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-06|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-07|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-08|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-09|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-10|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-11|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-12|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-13|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-14|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-15|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-16|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-17|826.0|0|1627.0|0|1635.0|0|715.0|0
