|dates|Bexar_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Bexar_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Bexar_Texas_UnitedStates.Male_Total_Population.data|Bexar_Texas_UnitedStates.Male_Total_Population.missing|Bexar_Texas_UnitedStates.Female_Total_Population.data|Bexar_Texas_UnitedStates.Female_Total_Population.missing|Bexar_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Bexar_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-02|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-03|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-04|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-05|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-06|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-07|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-08|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-09|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-10|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-11|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-12|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-13|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-14|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-15|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-16|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-17|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-18|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-19|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-20|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-21|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-22|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-23|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-24|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-25|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-26|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-27|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-28|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-29|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-30|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-01-31|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-01|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-02|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-03|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-04|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-05|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-06|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-07|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-08|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-09|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-10|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-11|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-12|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-13|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-14|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-15|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-16|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-17|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-18|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-19|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-20|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-21|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-22|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-23|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-24|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-25|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-26|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-27|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-28|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-02-29|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-03-01|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-03-02|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-03-03|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-03-04|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-03-05|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-03-06|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-03-07|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-03-08|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-03-09|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-03-10|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-03-11|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-03-12|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-03-13|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-03-14|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-03-15|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-03-16|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-03-17|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-03-18|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-03-19|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-03-20|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-03-21|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-03-22|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-03-23|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-03-24|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2020-03-25|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
