|dates|Muhlenberg_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Muhlenberg_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Muhlenberg_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Muhlenberg_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Muhlenberg_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Muhlenberg_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Muhlenberg_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Muhlenberg_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|9636.5|0|747.0|0|7.194106033611018|0|10383.5|0
0|2020-01-02|9636.5|0|747.0|0|7.194106033611018|0|10383.5|0
0|2020-01-03|9636.5|0|747.0|0|7.194106033611018|0|10383.5|0
0|2020-01-04|9636.5|0|747.0|0|7.194106033611018|0|10383.5|0
0|2020-01-05|9636.5|0|747.0|0|7.194106033611018|0|10383.5|0
0|2020-01-06|9636.5|0|747.0|0|7.194106033611018|0|10383.5|0
0|2020-01-07|9636.5|0|747.0|0|7.194106033611018|0|10383.5|0
0|2020-01-08|9636.5|0|747.0|0|7.194106033611018|0|10383.5|0
0|2020-01-09|9636.5|0|747.0|0|7.194106033611018|0|10383.5|0
0|2020-01-10|9636.5|0|747.0|0|7.194106033611018|0|10383.5|0
0|2020-01-11|9636.5|0|747.0|0|7.194106033611018|0|10383.5|0
0|2020-01-12|9636.5|0|747.0|0|7.194106033611018|0|10383.5|0
0|2020-01-13|9636.5|0|747.0|0|7.194106033611018|0|10383.5|0
0|2020-01-14|9636.5|0|747.0|0|7.194106033611018|0|10383.5|0
0|2020-01-15|9636.5|0|747.0|0|7.194106033611018|0|10383.5|0
0|2020-01-16|9636.5|0|747.0|0|7.194106033611018|0|10383.5|0
0|2020-01-17|9636.5|0|747.0|0|7.194106033611018|0|10383.5|0
0|2020-01-18|9636.5|0|747.0|0|7.194106033611018|0|10383.5|0
0|2020-01-19|9636.5|0|747.0|0|7.194106033611018|0|10383.5|0
0|2020-01-20|9636.5|0|747.0|0|7.194106033611018|0|10383.5|0
0|2020-01-21|9636.5|0|747.0|0|7.194106033611018|0|10383.5|0
0|2020-01-22|9636.5|0|747.0|0|7.194106033611018|0|10383.5|0
0|2020-01-23|9636.5|0|747.0|0|7.194106033611018|0|10383.5|0
0|2020-01-24|9636.5|0|747.0|0|7.194106033611018|0|10383.5|0
0|2020-01-25|9636.5|0|747.0|0|7.194106033611018|0|10383.5|0
0|2020-01-26|9636.5|0|747.0|0|7.194106033611018|0|10383.5|0
