|dates|Hendry_Florida_UnitedStates.BLS_EmployedPopulation.data|Hendry_Florida_UnitedStates.BLS_EmployedPopulation.missing|Hendry_Florida_UnitedStates.BLS_UnemployedPopulation.data|Hendry_Florida_UnitedStates.BLS_UnemployedPopulation.missing|Hendry_Florida_UnitedStates.BLS_UnemploymentRate.data|Hendry_Florida_UnitedStates.BLS_UnemploymentRate.missing|Hendry_Florida_UnitedStates.BLS_LaborForcePopulation.data|Hendry_Florida_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-02|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-03|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-04|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-05|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-06|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-07|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-08|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-09|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-10|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-11|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-12|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-13|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-14|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-15|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-16|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-17|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-18|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-19|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-20|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-21|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-22|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-23|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-24|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-25|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-26|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-27|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-28|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-29|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-30|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-01-31|15135.5|0|881.5|0|5.503527502029094|0|16017.0|0
0|2020-02-01|15154.0|0|790.5|0|4.957822446611685|0|15944.5|0
0|2020-02-02|15154.0|0|790.5|0|4.957822446611685|0|15944.5|0
0|2020-02-03|15154.0|0|790.5|0|4.957822446611685|0|15944.5|0
0|2020-02-04|15154.0|0|790.5|0|4.957822446611685|0|15944.5|0
0|2020-02-05|15154.0|0|790.5|0|4.957822446611685|0|15944.5|0
0|2020-02-06|15154.0|0|790.5|0|4.957822446611685|0|15944.5|0
0|2020-02-07|15154.0|0|790.5|0|4.957822446611685|0|15944.5|0
0|2020-02-08|15154.0|0|790.5|0|4.957822446611685|0|15944.5|0
0|2020-02-09|15154.0|0|790.5|0|4.957822446611685|0|15944.5|0
0|2020-02-10|15154.0|0|790.5|0|4.957822446611685|0|15944.5|0
0|2020-02-11|15154.0|0|790.5|0|4.957822446611685|0|15944.5|0
0|2020-02-12|15154.0|0|790.5|0|4.957822446611685|0|15944.5|0
0|2020-02-13|15154.0|0|790.5|0|4.957822446611685|0|15944.5|0
0|2020-02-14|15154.0|0|790.5|0|4.957822446611685|0|15944.5|0
0|2020-02-15|15154.0|0|790.5|0|4.957822446611685|0|15944.5|0
0|2020-02-16|15154.0|0|790.5|0|4.957822446611685|0|15944.5|0
0|2020-02-17|15154.0|0|790.5|0|4.957822446611685|0|15944.5|0
0|2020-02-18|15154.0|0|790.5|0|4.957822446611685|0|15944.5|0
0|2020-02-19|15154.0|0|790.5|0|4.957822446611685|0|15944.5|0
0|2020-02-20|15154.0|0|790.5|0|4.957822446611685|0|15944.5|0
0|2020-02-21|15154.0|0|790.5|0|4.957822446611685|0|15944.5|0
0|2020-02-22|15154.0|0|790.5|0|4.957822446611685|0|15944.5|0
0|2020-02-23|15154.0|0|790.5|0|4.957822446611685|0|15944.5|0
