|dates|Matagorda_Texas_UnitedStates.BLS_EmployedPopulation.data|Matagorda_Texas_UnitedStates.BLS_EmployedPopulation.missing|Matagorda_Texas_UnitedStates.BLS_UnemployedPopulation.data|Matagorda_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Matagorda_Texas_UnitedStates.BLS_UnemploymentRate.data|Matagorda_Texas_UnitedStates.BLS_UnemploymentRate.missing|Matagorda_Texas_UnitedStates.BLS_LaborForcePopulation.data|Matagorda_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|15576.5|0|1117.5|0|6.694021804241045|0|16694.0|0
0|2020-01-02|15576.5|0|1117.5|0|6.694021804241045|0|16694.0|0
0|2020-01-03|15576.5|0|1117.5|0|6.694021804241045|0|16694.0|0
0|2020-01-04|15576.5|0|1117.5|0|6.694021804241045|0|16694.0|0
0|2020-01-05|15576.5|0|1117.5|0|6.694021804241045|0|16694.0|0
0|2020-01-06|15576.5|0|1117.5|0|6.694021804241045|0|16694.0|0
0|2020-01-07|15576.5|0|1117.5|0|6.694021804241045|0|16694.0|0
0|2020-01-08|15576.5|0|1117.5|0|6.694021804241045|0|16694.0|0
0|2020-01-09|15576.5|0|1117.5|0|6.694021804241045|0|16694.0|0
0|2020-01-10|15576.5|0|1117.5|0|6.694021804241045|0|16694.0|0
0|2020-01-11|15576.5|0|1117.5|0|6.694021804241045|0|16694.0|0
0|2020-01-12|15576.5|0|1117.5|0|6.694021804241045|0|16694.0|0
0|2020-01-13|15576.5|0|1117.5|0|6.694021804241045|0|16694.0|0
0|2020-01-14|15576.5|0|1117.5|0|6.694021804241045|0|16694.0|0
0|2020-01-15|15576.5|0|1117.5|0|6.694021804241045|0|16694.0|0
0|2020-01-16|15576.5|0|1117.5|0|6.694021804241045|0|16694.0|0
0|2020-01-17|15576.5|0|1117.5|0|6.694021804241045|0|16694.0|0
0|2020-01-18|15576.5|0|1117.5|0|6.694021804241045|0|16694.0|0
0|2020-01-19|15576.5|0|1117.5|0|6.694021804241045|0|16694.0|0
0|2020-01-20|15576.5|0|1117.5|0|6.694021804241045|0|16694.0|0
0|2020-01-21|15576.5|0|1117.5|0|6.694021804241045|0|16694.0|0
0|2020-01-22|15576.5|0|1117.5|0|6.694021804241045|0|16694.0|0
0|2020-01-23|15576.5|0|1117.5|0|6.694021804241045|0|16694.0|0
0|2020-01-24|15576.5|0|1117.5|0|6.694021804241045|0|16694.0|0
