|dates|VanBuren_Arkansas_UnitedStates.BLS_EmployedPopulation.data|VanBuren_Arkansas_UnitedStates.BLS_EmployedPopulation.missing|VanBuren_Arkansas_UnitedStates.BLS_UnemployedPopulation.data|VanBuren_Arkansas_UnitedStates.BLS_UnemployedPopulation.missing|VanBuren_Arkansas_UnitedStates.BLS_UnemploymentRate.data|VanBuren_Arkansas_UnitedStates.BLS_UnemploymentRate.missing|VanBuren_Arkansas_UnitedStates.BLS_LaborForcePopulation.data|VanBuren_Arkansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-02|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-03|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-04|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-05|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-06|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-07|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-08|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-09|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-10|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-11|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-12|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-13|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-14|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-15|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-16|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-17|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-18|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-19|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-20|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-21|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-22|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-23|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-24|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-25|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-26|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-27|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-28|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-29|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-30|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-01-31|5345.5|0|344.0|0|6.046225503119782|0|5689.5|0
0|2020-02-01|5377.0|0|337.5|0|5.9060285239303525|0|5714.5|0
0|2020-02-02|5377.0|0|337.5|0|5.9060285239303525|0|5714.5|0
0|2020-02-03|5377.0|0|337.5|0|5.9060285239303525|0|5714.5|0
0|2020-02-04|5377.0|0|337.5|0|5.9060285239303525|0|5714.5|0
