|dates|Bedford_Tennessee_UnitedStates.BLS_EmployedPopulation.data|Bedford_Tennessee_UnitedStates.BLS_EmployedPopulation.missing|Bedford_Tennessee_UnitedStates.BLS_UnemployedPopulation.data|Bedford_Tennessee_UnitedStates.BLS_UnemployedPopulation.missing|Bedford_Tennessee_UnitedStates.BLS_UnemploymentRate.data|Bedford_Tennessee_UnitedStates.BLS_UnemploymentRate.missing|Bedford_Tennessee_UnitedStates.BLS_LaborForcePopulation.data|Bedford_Tennessee_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|20159.5|0|849.5|0|4.04350516445333|0|21009.0|0
0|2020-01-02|20159.5|0|849.5|0|4.04350516445333|0|21009.0|0
0|2020-01-03|20159.5|0|849.5|0|4.04350516445333|0|21009.0|0
0|2020-01-04|20159.5|0|849.5|0|4.04350516445333|0|21009.0|0
0|2020-01-05|20159.5|0|849.5|0|4.04350516445333|0|21009.0|0
0|2020-01-06|20159.5|0|849.5|0|4.04350516445333|0|21009.0|0
0|2020-01-07|20159.5|0|849.5|0|4.04350516445333|0|21009.0|0
0|2020-01-08|20159.5|0|849.5|0|4.04350516445333|0|21009.0|0
0|2020-01-09|20159.5|0|849.5|0|4.04350516445333|0|21009.0|0
0|2020-01-10|20159.5|0|849.5|0|4.04350516445333|0|21009.0|0
0|2020-01-11|20159.5|0|849.5|0|4.04350516445333|0|21009.0|0
0|2020-01-12|20159.5|0|849.5|0|4.04350516445333|0|21009.0|0
0|2020-01-13|20159.5|0|849.5|0|4.04350516445333|0|21009.0|0
0|2020-01-14|20159.5|0|849.5|0|4.04350516445333|0|21009.0|0
0|2020-01-15|20159.5|0|849.5|0|4.04350516445333|0|21009.0|0
0|2020-01-16|20159.5|0|849.5|0|4.04350516445333|0|21009.0|0
0|2020-01-17|20159.5|0|849.5|0|4.04350516445333|0|21009.0|0
0|2020-01-18|20159.5|0|849.5|0|4.04350516445333|0|21009.0|0
0|2020-01-19|20159.5|0|849.5|0|4.04350516445333|0|21009.0|0
0|2020-01-20|20159.5|0|849.5|0|4.04350516445333|0|21009.0|0
0|2020-01-21|20159.5|0|849.5|0|4.04350516445333|0|21009.0|0
0|2020-01-22|20159.5|0|849.5|0|4.04350516445333|0|21009.0|0
0|2020-01-23|20159.5|0|849.5|0|4.04350516445333|0|21009.0|0
