|dates|Davidson_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Davidson_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Davidson_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Davidson_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Davidson_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Davidson_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Davidson_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Davidson_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-02|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-03|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-04|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-05|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-06|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-07|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-08|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-09|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-10|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-11|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-12|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-13|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-14|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-15|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-16|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-17|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-18|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-19|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-20|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-21|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-22|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-23|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-24|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-25|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-26|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-27|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-28|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-29|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-30|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-01-31|78567.0|0|3051.0|0|3.7381459972064985|0|81618.0|0
0|2020-02-01|79266.5|0|2855.0|0|3.4765560784934517|0|82121.5|0
0|2020-02-02|79266.5|0|2855.0|0|3.4765560784934517|0|82121.5|0
0|2020-02-03|79266.5|0|2855.0|0|3.4765560784934517|0|82121.5|0
0|2020-02-04|79266.5|0|2855.0|0|3.4765560784934517|0|82121.5|0
0|2020-02-05|79266.5|0|2855.0|0|3.4765560784934517|0|82121.5|0
0|2020-02-06|79266.5|0|2855.0|0|3.4765560784934517|0|82121.5|0
0|2020-02-07|79266.5|0|2855.0|0|3.4765560784934517|0|82121.5|0
0|2020-02-08|79266.5|0|2855.0|0|3.4765560784934517|0|82121.5|0
0|2020-02-09|79266.5|0|2855.0|0|3.4765560784934517|0|82121.5|0
0|2020-02-10|79266.5|0|2855.0|0|3.4765560784934517|0|82121.5|0
0|2020-02-11|79266.5|0|2855.0|0|3.4765560784934517|0|82121.5|0
0|2020-02-12|79266.5|0|2855.0|0|3.4765560784934517|0|82121.5|0
