|dates|SanFrancisco_California_UnitedStates.BLS_EmployedPopulation.data|SanFrancisco_California_UnitedStates.BLS_EmployedPopulation.missing|SanFrancisco_California_UnitedStates.BLS_UnemployedPopulation.data|SanFrancisco_California_UnitedStates.BLS_UnemployedPopulation.missing|SanFrancisco_California_UnitedStates.BLS_UnemploymentRate.data|SanFrancisco_California_UnitedStates.BLS_UnemploymentRate.missing|SanFrancisco_California_UnitedStates.BLS_LaborForcePopulation.data|SanFrancisco_California_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-02|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-03|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-04|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-05|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-06|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-07|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-08|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-09|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-10|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-11|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-12|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-13|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-14|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-15|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-16|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-17|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-18|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-19|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-20|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-21|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-22|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-23|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-24|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-25|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-26|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-27|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-28|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-29|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-30|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-01-31|570031.0|0|13605.0|0|2.331076218739077|0|583636.0|0
0|2020-02-01|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-02|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-03|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-04|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-05|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-06|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-07|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-08|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-09|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-10|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-11|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-12|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-13|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-14|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-15|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-16|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-17|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-18|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-19|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-20|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-21|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-22|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-23|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-24|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-25|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-26|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-27|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-28|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-02-29|572373.5|0|13206.0|0|2.2552018982904967|0|585579.5|0
0|2020-03-01|562128.0|0|17091.5|0|2.950781180536912|0|579219.5|0
0|2020-03-02|562128.0|0|17091.5|0|2.950781180536912|0|579219.5|0
0|2020-03-03|562128.0|0|17091.5|0|2.950781180536912|0|579219.5|0
0|2020-03-04|562128.0|0|17091.5|0|2.950781180536912|0|579219.5|0
0|2020-03-05|562128.0|0|17091.5|0|2.950781180536912|0|579219.5|0
0|2020-03-06|562128.0|0|17091.5|0|2.950781180536912|0|579219.5|0
0|2020-03-07|562128.0|0|17091.5|0|2.950781180536912|0|579219.5|0
