|dates|Moultrie_Illinois_UnitedStates.BLS_EmployedPopulation.data|Moultrie_Illinois_UnitedStates.BLS_EmployedPopulation.missing|Moultrie_Illinois_UnitedStates.BLS_UnemployedPopulation.data|Moultrie_Illinois_UnitedStates.BLS_UnemployedPopulation.missing|Moultrie_Illinois_UnitedStates.BLS_UnemploymentRate.data|Moultrie_Illinois_UnitedStates.BLS_UnemploymentRate.missing|Moultrie_Illinois_UnitedStates.BLS_LaborForcePopulation.data|Moultrie_Illinois_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7202.5|0|222.0|0|2.9901003434574718|0|7424.5|0
0|2020-01-02|7202.5|0|222.0|0|2.9901003434574718|0|7424.5|0
0|2020-01-03|7202.5|0|222.0|0|2.9901003434574718|0|7424.5|0
0|2020-01-04|7202.5|0|222.0|0|2.9901003434574718|0|7424.5|0
0|2020-01-05|7202.5|0|222.0|0|2.9901003434574718|0|7424.5|0
0|2020-01-06|7202.5|0|222.0|0|2.9901003434574718|0|7424.5|0
0|2020-01-07|7202.5|0|222.0|0|2.9901003434574718|0|7424.5|0
0|2020-01-08|7202.5|0|222.0|0|2.9901003434574718|0|7424.5|0
0|2020-01-09|7202.5|0|222.0|0|2.9901003434574718|0|7424.5|0
0|2020-01-10|7202.5|0|222.0|0|2.9901003434574718|0|7424.5|0
0|2020-01-11|7202.5|0|222.0|0|2.9901003434574718|0|7424.5|0
0|2020-01-12|7202.5|0|222.0|0|2.9901003434574718|0|7424.5|0
0|2020-01-13|7202.5|0|222.0|0|2.9901003434574718|0|7424.5|0
0|2020-01-14|7202.5|0|222.0|0|2.9901003434574718|0|7424.5|0
0|2020-01-15|7202.5|0|222.0|0|2.9901003434574718|0|7424.5|0
0|2020-01-16|7202.5|0|222.0|0|2.9901003434574718|0|7424.5|0
0|2020-01-17|7202.5|0|222.0|0|2.9901003434574718|0|7424.5|0
0|2020-01-18|7202.5|0|222.0|0|2.9901003434574718|0|7424.5|0
